sentence,category
Would you like some more juice ?,QYN
Are you drinking your juice ?,QYN
Are you going to show me what you 've got in the shopping basket because you 've got some fruit in there have n't you ?,QYN
Are you going to go and get your shopping basket and we 'll have a look and see what we 've got in it ?,QYN
Did we wash your face ?,QYN
Are you sleeping ?,QYN
Can you see ?,QYN
Are you snoring because you 're tired ?,QYN
Bumped your toe ?,QYN
Would you like a kiss ?,QYN
Would you like a pear ?,QYN
Do you think he has got a black and white cat at home ?,QYN
Have we got a black and white cat ?,QYN
Have you dropped it on the floor ?,QYN
Did we go and see Jake at the party ?,QYN
Is she stuck ?,QYN
Can you hear the rustling and crackling ?,QYN
Did Mummy have a shower ?,QYN
Are you rolling ?,QYN
Are they snapping ?,QYN
Would you like to look at them ?,QYN
Have you got some shoes in your shopping basket ?,QYN
Do you remember ?,QYN
Have you got a tickle ?,QYN
Did you hear a door closing ?,QYN
Is that what you said ?,QYN
Excuse me ?,QYN
Did you ?,QYN
Does it ?,QYN
Do you ?,QYN
Would you like a spoon ?,QYN
Is that what you want ?,QYN
Would you like some milk ?,QYN
Can you reach ?,QYN
Would you like an apple ?,QYN
Press a button ?,QYN
Have you had a nice day ?,QYN
Taste nice ?,QYN
Are you playing with your lego train ?,QYN
Has the horse fallen off ?,QYN
Are you galloping ?,QYN
Would you like some crisps now ?,QYN
Do you remember having to show our passports when you arrived here in Spain ?,QYN
Make sure you do n't wander round the room with them wo n't you ?,QYN
Have you seen these coins Thomas ?,QYN
Can you see the hole in the middle ?,QYN
Do you think she will ?,QYN
Do you remember seeing the man washing the road this morning ?,QYN
Stop the train ?,QYN
Are you trying to play with your rubber ring ?,QYN
Would you like some apple Thomas ?,QYN
Do you wan na bring them over here ?,QYN
Can you get them out of the bag ?,QYN
Shall we share them ?,QYN
Are you watching for the rubbish men ?,QYN
Can you hear the bin bag lorry ?,QYN
Are they waiting for the bin bag lorry ?,QYN
Talk to Dimitra a moment ?,QYN
Are you putting Mummy 's bracelet on ?,QYN
Drink beer ?,QYN
Getting out ?,QYN
Eat that one ?,QYN
Coming in ?,QYN
Do you know ?,QYN
Can we fix it ?,QYN
Has it ?,QYN
Know what ?,QYN
Have you noticed ?,QYN
Does she ?,QYN
Guess what ?,QYN
Would you like to turn your pig off now please Thomas while I get a drink ?,QYN
Would the snake like a drink ?,QYN
Does hiss mean yes ?,QYN
Is that how the snake talks ?,QYN
Do you remember their dogs ?,QYN
Do you remember the big dogs that Sue and Andy next door use ta have ?,QYN
Do n't rip the paper too much then we can look at it afterwards ca n't we ?,QYN
Can you see it now ?,QYN
Tell the reason I saw it ?,QYN
Can you see the top of the mug ?,QYN
Packed it very tightly did n't they ?,QYN
Having a nice rest ?,QYN
Do you know what the box was in it originally Thomas ?,QYN
Do you think there will be some crocodiles in the book box ?,QYN
Is it nice when you ca n't see my face ?,QYN
Do you wan na go to the table ?,QYN
Can I sit ?,QYN
Do you know what we 've done Thomas ?,QYN
Look what has he got in his hand ?,QYN
Is he rushing for the bus as well ?,QYN
Say please can I get in ?,QYN
Is she going to Stockport Cheshire is she ?,QYN
Is she going to do some shopping in Stockport ?,QYN
Shall we turn the page and see what 's happening on the bus on the next page ?,QYN
Do you wan na go to the next page ?,QYN
Wan na get on passenger ?,QYN
Could I have the ticket please ?,QYN
Can you see that little dirty handprint ?,QYN
Are getting a bus Mum again ?,QYN
Can I get me my present now ?,QYN
Can I have some more ?,QYN
Keep yawning ?,QYN
Do you want some trousers ?,QYN
Wan na just lie and watch telly ?,QYN
Do you think after a little lie down you 'd be alright to go out or not ?,QYN
Do you feel sick at all Thomas ?,QYN
Is it because you do n't wan na sit at the table ?,QYN
Do you want something to wrap yourself up in ?,QYN
Have Mummy 's fleece ?,QYN
Is it just that you do n't wan na eat lunch ?,QYN
Making a little house ?,QYN
Do you wan na play on the table ?,QYN
Can you help us um have you got another of those ?,QYN
Is that you chomping on your cheese ?,QYN
Do you want a little look ?,QYN
Are you listening Jeannine ?,QYN
Shall I open it for you ?,QYN
Recording today ?,QYN
Can I join in ?,QYN
Do you wan na sit at the table ?,QYN
Have you not had a bite of it ?,QYN
Would you like to look inside this refrigerated cabinet and see if there 's a cabinet ?,QYN
Does n't look all that wonderful does it ?,QYN
Shall I pay with cash ?,QYN
Was it a jam sandwich you wanted Thomas ?,QYN
Are you going to Manchester ?,QYN
Shall I show you a lettuce ?,QYN
Shall I press a button ?,QYN
Do you know how tall it goes ?,QYN
Do you like Thomas ?,QYN
Is that the trailer that squeaks ?,QYN
Does it always squeak like that ?,QYN
Does it clip on there ?,QYN
Does it actually clip onto the rider ?,QYN
