sentence,category
Mummy 's pouring a drop of water in just to dilute it down .,SPT
I 'll get you .,SPT
Mummy needs to clean Thomas 's shoes because we are going out this afternoon .,SPT
Ah I can see it .,SPT
Shall we see which .,SPT
Perhaps she does when she 's wearing her blue coat .,SPT
We have n't got Toby on the book .,SPT
And there is n't a place for Toby so we 'll put Toby there .,SPT
When you 're drinking juice is n't it ?,SPT
You 've had a wash have n't you ?,SPT
And we brushed your teeth .,SPT
He has got a parcel in his hand .,SPT
You ca n't say Thomas yet can you ?,SPT
Because you had marmite from your toast all around your mouth .,SPT
He has got a big red van .,SPT
He 's trying to find somebody in so he can deliver the parcel .,SPT
He has got a red van but he has n't got a black and white cat has he ?,SPT
You usually wear blue .,SPT
Juice what have you done with your juice ?,SPT
You wore blue yesterday .,SPT
I beg your pardon I heared that .,SPT
And what did we do last night ?,SPT
He ca n't deliver his parcel .,SPT
Mummy 's hair looks a mess this morning does n't it ?,SPT
Just because I said it 's like a football does n't mean you haf ta throw it .,SPT
It does look a mess .,SPT
She got her hair wet in the shower .,SPT
And then somebody came to see us .,SPT
And it dried before I got time to brush it .,SPT
You 're going to crush your yoghurt pots with the little engines on .,SPT
He has got a little bit of red on him .,SPT
The postman brought us some photographs this morning .,SPT
But you have n't got a warm woolly sweater this morning have you ?,SPT
I 'll find it for you .,SPT
You could collect the shoes and put the shoes in the shopping basket could n't you ?,SPT
And he 's holding a baby .,SPT
You 've got to put slippers on as well rather than shoes because you went out yesterday and the mud got your shoes dirty .,SPT
You could put Thomas 's shoes in the basket .,SPT
And you could put Daddy 's shoe in the basket .,SPT
And I 've not had time not had time to clean your shoes yet .,SPT
And if Mummy takes her shoe off Mummy 's shoe can go in the basket .,SPT
You 've got to put those slippers on .,SPT
And what have these slippers got on them ?,SPT
Once we 've had breakfast this morning Thomas and Mummy has got dressed and put her makeup on she 's going to work .,SPT
How many shoes have you got there ?,SPT
But Daddy has got a day off because he worked at the weekend .,SPT
Purdie 's eating her dinner .,SPT
I ca n't see it .,SPT
Oops dropped something here .,SPT
Baby do it .,SPT
She was cleaning the patio .,SPT
I heard that .,SPT
I know what .,SPT
I ca n't tell what you 're saying .,SPT
Well I tell you what .,SPT
You can do it .,SPT
And what else did we buy ?,SPT
Mummy do it .,SPT
You know what ?,SPT
You ca n't see it .,SPT
And then we did some shopping .,SPT
We 've got the light on in the bedroom have n't we ?,SPT
We 've had our tea .,SPT
We bought some Ribena did n't we ?,SPT
We had three packets three cartons of Ribena with a straw .,SPT
And you drank yours .,SPT
Oh excuse you excuse you Thomas .,SPT
Oh we saw two horses today did n't we ?,SPT
We bought some baby powder .,SPT
And Mummy went to the chemist and bought some sweets for her throat did n't she ?,SPT
Because she has got a sore throat .,SPT
We bought two postcards and two stamps .,SPT
And what do you say to the people when you leave the shop ?,SPT
In England you say thank you goodbye .,SPT
And what else do you say ?,SPT
I do n't want you doing that .,SPT
Thomas put it back on and leave it .,SPT
Now let 's take your walking reins off because we 've just got back from the shop .,SPT
You go and check take your reins off and you go and check on the light situation for me .,SPT
I 'll hang your reins up here Thomas .,SPT
Oh are you running to give me a big hug ?,SPT
Let 's see what we 've bought .,SPT
Or would you like an apple now ?,SPT
We 've been buying some long life milk for you have n't we ?,SPT
And if you get thirsty then Grandma and Granddad can give you a drink ca n't they ?,SPT
And Mummy has had ta find a passport has n't she ?,SPT
Because they wo n't let Mummy and Daddy into Gibraltar without it .,SPT
We 're going to need all the money are n't we ?,SPT
Have a look and see what we 've got .,SPT
We 've got some notes here .,SPT
We have notes at home do n't we ?,SPT
We 've got to keep them safe have n't we ?,SPT
It has bashed a lady and a man has it ?,SPT
We have twenty pences and five pence pieces .,SPT
They 've all got holes in the middle .,SPT
We caught the bus to Torremelenos .,SPT
Oh dear Mummy has got a cough Thomas .,SPT
I do n't think I need ta be smacked for having a cough do I ?,SPT
And you 've just been watching it on the news in Grandma and Granddad 's room have n't you ?,SPT
You 've seen all sorts of things today .,SPT
You 've seen helicopters .,SPT
And we seen another man squirting a lot of water on the grass .,SPT
Oh you 're rolling it are you ?,SPT
And the train caught fire once it had crashed did n't it ?,SPT
You 've got at home you 've got a very big rubber swim ring a swim seat that you sit in and it supports you does n't it ?,SPT
Because when your trains crash it just .,SPT
Oh we ca n't see it can we ?,SPT
You 've just knocked the lid of your juice on the floor and said train like that because the train fell down .,SPT
We 've got to turn the light off so that we can see what 's happening outside .,SPT
They 're probably bringing people to the airport to the hotel .,SPT
They 're arriving Spain sometime today .,SPT
You can hear it ?,SPT
You 've just found it on the floor have n't you ?,SPT
But we can hear it ca n't we ?,SPT
Mummy just checked the lights .,SPT
And one of them did n't have the orange light on .,SPT
They only sing happy birthday if it 's somebody 's birthday .,SPT
Mummy has got that ready now for tomorrow .,SPT
And ca n't have that can we ?,SPT
Well I think we need ta pull your trousers up Thomas .,SPT
So I 've just tightened up the wire .,SPT
Me got fire engine .,SPT
Oh what le done there ?,SPT
They bite you .,SPT
Big bears eat it .,SPT
You put those notices back on the door please .,SPT
Choochootank eat it .,SPT
Daddy do it .,SPT
The horse drink it .,SPT
He eating crisps .,SPT
Isabelle likes ham ?,SPT
The light bump my head .,SPT
Fire engine says beebabeeba .,SPT
Grandad ride it .,SPT
Thomas ride it .,SPT
I love you .,SPT
I do it .,SPT
You hold that .,SPT
You must n't break it .,SPT
I ca n't do it .,SPT
I need it .,SPT
You 've found something ?,SPT
You know that do n't you ?,SPT
I found one !,SPT
You do that then .,SPT
I want some crisps .,SPT
I post man .,SPT
I need some sweets .,SPT
You 've had an apple .,SPT
I need a do it .,SPT
We mean Daddy 's friend Wendy .,SPT
Snake say hiss .,SPT
Right Thomas would you like some blackcurrant ?,SPT
I love your bottom Mummy .,SPT
You love my bottom ?,SPT
You 're not spos ta say that !,SPT
As long as you love me I do n't mind .,SPT
A big snake say eat sandwiches in here .,SPT
I love orange juice .,SPT
Well I have n't got any sandwiches .,SPT
Please I have a smell ?,SPT
Thank you snake said .,SPT
And do you mean Purdie ?,SPT
You call Purdie your friend do n't you ?,SPT
And you call her a chicken .,SPT
Mummy has always called Purdie a chicken because I do n't see her doing it an awful lot now but there are certain times especially when Mummy use ta work when Purdie use ta come into the office with Mummy .,SPT
And she use ta sit in the chair an armchair in the corner of the office and she looked like a chicken .,SPT
Mummy use ta have a house where she worked .,SPT
We put babies in rock a tots .,SPT
But they act as little carry cots for babies .,SPT
Um I want Krispies .,SPT
Then I shall have Cornflakes with milk .,SPT
I have that bowl .,SPT
You 'd like that bowl ?,SPT
You got a poorly cough ?,SPT
She had the tummy bug that we had .,SPT
Well I do n't think she would quite do that Thomas .,SPT
I hope she has a nice day .,SPT
We use ta live door to another Sue did n't we ?,SPT
Then they got Gambit .,SPT
And then just before they left they got another dog did n't they ?,SPT
I 've forgotten what they call that .,SPT
But I ca n't think uh what they called it .,SPT
Thomas is giving orders .,SPT
And then they had a pussy cat did n't they ?,SPT
But I did notice that on the bottom it had the usual crest did n't it ?,SPT
You had better open it and see .,SPT
You wan na move your lemonade darling .,SPT
Otherwise you might have a spill .,SPT
Mummy 'll pop it over here .,SPT
It says s k four three r f .,SPT
I always calling him man .,SPT
I 'm always calling him man .,SPT
It says shop .,SPT
I think that says shop .,SPT
And then after you had said Cheshire you 've got to say s k four three r f .,SPT
Whenever you see him .,SPT
You say hello Jo .,SPT
Um I playing the shop .,SPT
Mummy wanted a special shelf .,SPT
So you going to help me pull the wrapping paper off ?,SPT
Um I need my pennys .,SPT
