sentence,category
Right let 's get dressed .,COM
A where has a Bow gone ?,COM
Just sit just sit on the floor .,COM
Do n't go climbing on the chairs .,COM
Perhaps it 's just too early in the morning for me to get get a good suck on it .,COM
S k four three r f and the postman know knows which house to deliver it too .,COM
I 'm sure some people might like getting it .,COM
Out came the dustbin men and drive for the dustbin .,COM
Well at the moment I can see what 's in the box because you have n't managed to close the lid have you ?,COM
Now let this little girl get off first .,COM
Just let me get on .,COM
Now let 's go pass the parcel .,COM
It 's for when you blink your car and that 's car wash and that 's a lift for cars .,COM
Do n't wan na read anymore storys .,COM
It 's just I do n't know if you 've got a headache because it 's a little bit thundery outside .,COM
Not a good idea me opening the crisps because I 'm eating them .,COM
Because I what I was going to suggest was that we had our lunch but fair enough you do n't want any .,COM
I 'm not dressed for elegantly riding this train .,COM
It could but I was just going to put it away .,COM
Even had dra carry drinks .,COM
And have coke to drink .,COM
Where do that to apple face .,COM
There 's come actually on their own look .,COM
Just gon na phone police .,COM
Right take that out and pop that one in .,COM
Right well let 's pop that in .,COM
Right let me just have .,COM
And it when he stopped to look at these hula hoops that robber did .,COM
If you got need one helmet for a boy then I the I the one that stop the fire and you can watch .,COM
There let me see .,COM
You 're all done napping .,COM
That Eve make Jim jump .,COM
I 'm sorry I forgot to make one for you .,COM
Now let me draw you a lady .,COM
And let 's tear it off at the bottom .,COM
All right and you can paint a flying head for Jessica .,COM
Fine I 'm gon na go mail a letter and buy some stamps at the post office .,COM
Sure let 's paint the microphone .,COM
No it 's not a brack bush but I it will look black because we 're gon na use the black paint wo n't it ?,COM
Yeah that 's what I mean you have plenty of pizza .,COM
It 's a pretty long walk to the store if you just try to walk it .,COM
All right let 's do the red light first .,COM
Along came a frog and then there were .,COM
I 'm pretty hungry what kind of food are you gon na get ?,COM
All right I think I need a comb to get wool from you or a brush .,COM
Fish I got a fishy to swim in water .,COM
What let 's open these !,COM
All right all right let 's go and have fun .,COM
All right let 's go tape it on .,COM
All right let 's go to Toronto .,COM
How about you get some food at Tops and remember to pay money .,COM
Scar we wan na find Zazu .,COM
And here 's a game that I really know that I know from Sue .,COM
Then go to the and then go to the hive .,COM
She 's surprised that you brought everything that Jessica got .,COM
No going to sleep .,COM
