Sentence,Roberta_CDS_biaffine,Roberta_eng_biaffine,Stanza_off_the_shelf
I think stick on here .,"I	_	_	_	_	_	2	nsubj	_	_
think	_	_	_	_	_	0	root	_	_
stick	_	_	_	_	_	2	ccomp	_	_
on	_	_	_	_	_	5	case	_	_
here	_	_	_	_	_	3	obl	_	_
.	_	_	_	_	_	2	punct	_	_","I	_	_	_	_	_	2	nsubj	_	_
think	_	_	_	_	_	0	root	_	_
stick	_	_	_	_	_	2	ccomp	_	_
on	_	_	_	_	_	5	case	_	_
here	_	_	_	_	_	3	obl	_	_
.	_	_	_	_	_	2	punct	_	_","I	_	PRON	PRP	_	_	2	nsubj	_	_
think	_	VERB	VBP	_	_	0	root	_	_
stick	_	VERB	VB	_	_	2	xcomp	_	_
on	_	ADP	IN	_	_	3	compound:prt	_	_
here	_	ADV	RB	_	_	3	obl	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
wanna be Fireman Sam .,"wanna	_	_	_	_	_	0	root	_	_
be	_	_	_	_	_	3	cop	_	_
Fireman	_	_	_	_	_	1	xcomp	_	_
Sam	_	_	_	_	_	3	flat	_	_
.	_	_	_	_	_	1	punct	_	_","wanna	_	_	_	_	_	0	root	_	_
be	_	_	_	_	_	4	cop	_	_
Fireman	_	_	_	_	_	4	nmod:desc	_	_
Sam	_	_	_	_	_	1	xcomp	_	_
.	_	_	_	_	_	1	punct	_	_","wan	_	VERB	VBP	_	_	0	root	_	_
na	_	PART	TO	_	_	5	mark	_	_
be	_	AUX	VB	_	_	5	cop	_	_
Fireman	_	PROPN	NNP	_	_	1	xcomp	_	_
Sam	_	PROPN	NNP	_	_	4	flat	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
I Fireman Sam .,"I	_	_	_	_	_	2	nsubj	_	_
Fireman	_	_	_	_	_	0	root	_	_
Sam	_	_	_	_	_	2	flat	_	_
.	_	_	_	_	_	2	punct	_	_","I	_	_	_	_	_	3	dep	_	_
Fireman	_	_	_	_	_	3	compound	_	_
Sam	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	PRON	PRP	_	_	2	nsubj	_	_
Fireman	_	PROPN	NNP	_	_	0	root	_	_
Sam	_	PROPN	NNP	_	_	2	flat	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
wanna talk now .,"wanna	_	_	_	_	_	0	root	_	_
talk	_	_	_	_	_	1	xcomp	_	_
now	_	_	_	_	_	2	advmod	_	_
.	_	_	_	_	_	1	punct	_	_","wanna	_	_	_	_	_	0	root	_	_
talk	_	_	_	_	_	1	xcomp	_	_
now	_	_	_	_	_	2	advmod	_	_
.	_	_	_	_	_	1	punct	_	_","wan	_	VERB	VBP	_	_	0	root	_	_
na	_	PART	TO	_	_	3	mark	_	_
talk	_	VERB	VB	_	_	1	xcomp	_	_
now	_	ADV	RB	_	_	3	advmod	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
"Purdie , that Fireman Sam .","Purdie	_	_	_	_	_	4	vocative	_	_
,	_	_	_	_	_	4	mark	_	_
that	_	_	_	_	_	4	nsubj	_	_
Fireman	_	_	_	_	_	0	root	_	_
Sam	_	_	_	_	_	4	flat	_	_
.	_	_	_	_	_	4	punct	_	_","Purdie	_	_	_	_	_	5	vocative	_	_
,	_	_	_	_	_	1	punct	_	_
that	_	_	_	_	_	5	det	_	_
Fireman	_	_	_	_	_	5	nmod:desc	_	_
Sam	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	5	punct	_	_","Purdie	_	PROPN	NNP	_	_	0	root	_	_
,	_	PUNCT	,	_	_	1	punct	_	_
that	_	SCONJ	IN	_	_	4	det	_	_
Fireman	_	PROPN	NNP	_	_	1	appos	_	_
Sam	_	PROPN	NNP	_	_	4	flat	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
a ladder climb up .,"a	_	_	_	_	_	2	det	_	_
ladder	_	_	_	_	_	3	nsubj	_	_
climb	_	_	_	_	_	0	root	_	_
up	_	_	_	_	_	3	advmod	_	_
.	_	_	_	_	_	3	punct	_	_","a	_	_	_	_	_	2	det	_	_
ladder	_	_	_	_	_	3	nsubj	_	_
climb	_	_	_	_	_	0	root	_	_
up	_	_	_	_	_	3	advmod	_	_
.	_	_	_	_	_	3	punct	_	_","a	_	DET	DT	_	_	3	det	_	_
ladder	_	NOUN	NN	_	_	3	compound	_	_
climb	_	NOUN	NN	_	_	0	root	_	_
up	_	ADP	RP	_	_	3	advmod	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
looking the kitchen for a Wendy's hat .,"looking	_	_	_	_	_	0	root	_	_
the	_	_	_	_	_	3	det	_	_
kitchen	_	_	_	_	_	1	obl	_	_
for	_	_	_	_	_	7	case	_	_
a	_	_	_	_	_	7	det	_	_
Wendy's	_	_	_	_	_	7	nmod:poss	_	_
hat	_	_	_	_	_	1	obl	_	_
.	_	_	_	_	_	1	punct	_	_","looking	_	_	_	_	_	0	root	_	_
the	_	_	_	_	_	3	det	_	_
kitchen	_	_	_	_	_	1	obj	_	_
for	_	_	_	_	_	7	case	_	_
a	_	_	_	_	_	7	det	_	_
Wendy's	_	_	_	_	_	7	nmod:poss	_	_
hat	_	_	_	_	_	1	obl	_	_
.	_	_	_	_	_	1	punct	_	_","looking	_	VERB	VBG	_	_	0	root	_	_
the	_	DET	DT	_	_	3	det	_	_
kitchen	_	NOUN	NN	_	_	1	obj	_	_
for	_	ADP	IN	_	_	8	case	_	_
a	_	DET	DT	_	_	6	det	_	_
Wendy	_	PROPN	NNP	_	_	8	nmod:poss	_	_
's	_	PART	POS	_	_	6	case	_	_
hat	_	NOUN	NN	_	_	1	obl	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
I not called Aunty Mabel .,"I	_	_	_	_	_	3	nsubj:pass	_	_
not	_	_	_	_	_	3	advmod	_	_
called	_	_	_	_	_	0	root	_	_
Aunty	_	_	_	_	_	3	xcomp	_	_
Mabel	_	_	_	_	_	4	flat	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	_	_	_	_	3	nsubj:pass	_	_
not	_	_	_	_	_	3	advmod	_	_
called	_	_	_	_	_	0	root	_	_
Aunty	_	_	_	_	_	5	nmod:desc	_	_
Mabel	_	_	_	_	_	3	xcomp	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	PRON	PRP	_	_	3	nsubj	_	_
not	_	PART	RB	_	_	3	advmod	_	_
called	_	VERB	VBD	_	_	0	root	_	_
Aunty	_	PROPN	NNP	_	_	3	obj	_	_
Mabel	_	PROPN	NNP	_	_	4	flat	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
Mummy need a dumper truck and a big digger to the Smarties .,"Mummy	_	_	_	_	_	2	vocative	_	_
need	_	_	_	_	_	0	root	_	_
a	_	_	_	_	_	5	det	_	_
dumper	_	_	_	_	_	5	compound	_	_
truck	_	_	_	_	_	2	obj	_	_
and	_	_	_	_	_	9	cc	_	_
a	_	_	_	_	_	9	det	_	_
big	_	_	_	_	_	9	amod	_	_
digger	_	_	_	_	_	5	conj	_	_
to	_	_	_	_	_	12	case	_	_
the	_	_	_	_	_	12	det	_	_
Smarties	_	_	_	_	_	2	obl	_	_
.	_	_	_	_	_	2	punct	_	_","Mummy	_	_	_	_	_	2	nsubj	_	_
need	_	_	_	_	_	0	root	_	_
a	_	_	_	_	_	5	det	_	_
dumper	_	_	_	_	_	5	compound	_	_
truck	_	_	_	_	_	2	obj	_	_
and	_	_	_	_	_	9	cc	_	_
a	_	_	_	_	_	9	det	_	_
big	_	_	_	_	_	9	amod	_	_
digger	_	_	_	_	_	5	conj	_	_
to	_	_	_	_	_	12	case	_	_
the	_	_	_	_	_	12	det	_	_
Smarties	_	_	_	_	_	2	obl	_	_
.	_	_	_	_	_	2	punct	_	_","Mummy	_	NOUN	NN	_	_	2	nsubj	_	_
need	_	VERB	VBP	_	_	0	root	_	_
a	_	DET	DT	_	_	5	det	_	_
dumper	_	NOUN	NN	_	_	5	compound	_	_
truck	_	NOUN	NN	_	_	2	obj	_	_
and	_	CCONJ	CC	_	_	9	cc	_	_
a	_	DET	DT	_	_	9	det	_	_
big	_	ADJ	JJ	_	_	9	amod	_	_
digger	_	NOUN	NN	_	_	5	conj	_	_
to	_	ADP	IN	_	_	12	case	_	_
the	_	DET	DT	_	_	12	det	_	_
Smarties	_	PROPN	NNPS	_	_	9	nmod	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
what I going do ?,"what	_	_	_	_	_	4	obj	_	_
I	_	_	_	_	_	3	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
do	_	_	_	_	_	3	xcomp	_	_
?	_	_	_	_	_	3	punct	_	_","what	_	_	_	_	_	4	obj	_	_
I	_	_	_	_	_	3	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
do	_	_	_	_	_	3	xcomp	_	_
?	_	_	_	_	_	3	punct	_	_","what	_	PRON	WP	_	_	0	root	_	_
I	_	PRON	PRP	_	_	3	nsubj	_	_
going	_	VERB	VBG	_	_	1	acl:relcl	_	_
do	_	VERB	VB	_	_	3	xcomp	_	_
?	_	PUNCT	.	_	_	4	punct	_	_"
I put the poo and cat poo .,"I	_	_	_	_	_	2	nsubj	_	_
put	_	_	_	_	_	0	root	_	_
the	_	_	_	_	_	4	det	_	_
poo	_	_	_	_	_	2	obj	_	_
and	_	_	_	_	_	7	cc	_	_
cat	_	_	_	_	_	7	compound	_	_
poo	_	_	_	_	_	2	conj	_	_
.	_	_	_	_	_	2	punct	_	_","I	_	_	_	_	_	2	nsubj	_	_
put	_	_	_	_	_	0	root	_	_
the	_	_	_	_	_	4	det	_	_
poo	_	_	_	_	_	2	obj	_	_
and	_	_	_	_	_	7	cc	_	_
cat	_	_	_	_	_	7	compound	_	_
poo	_	_	_	_	_	4	conj	_	_
.	_	_	_	_	_	2	punct	_	_","I	_	PRON	PRP	_	_	2	nsubj	_	_
put	_	VERB	VBD	_	_	0	root	_	_
the	_	DET	DT	_	_	4	det	_	_
poo	_	NOUN	NN	_	_	2	obj	_	_
and	_	CCONJ	CC	_	_	7	cc	_	_
cat	_	NOUN	NN	_	_	7	compound	_	_
poo	_	NOUN	NN	_	_	2	obj	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
