Sentence,Roberta_CDS_biaffine,Roberta_eng_biaffine,Stanza_off_the_shelf
oh yes .,"oh	_	_	_	_	_	0	root	_	_
yes	_	_	_	_	_	1	discourse	_	_
.	_	_	_	_	_	1	punct	_	_","oh	_	_	_	_	_	0	root	_	_
yes	_	_	_	_	_	1	discourse	_	_
.	_	_	_	_	_	2	punct	_	_","oh	_	INTJ	UH	_	_	2	discourse	_	_
yes	_	INTJ	UH	_	_	0	root	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
"Mummy , you say help .","Mummy	_	_	_	_	_	4	vocative	_	_
,	_	_	_	_	_	4	aux	_	_
you	_	_	_	_	_	4	nsubj	_	_
say	_	_	_	_	_	0	root	_	_
help	_	_	_	_	_	4	obj	_	_
.	_	_	_	_	_	4	punct	_	_","Mummy	_	_	_	_	_	4	vocative	_	_
,	_	_	_	_	_	1	punct	_	_
you	_	_	_	_	_	4	nsubj	_	_
say	_	_	_	_	_	0	root	_	_
help	_	_	_	_	_	4	obj	_	_
.	_	_	_	_	_	4	punct	_	_","Mummy	_	NOUN	NN	_	_	4	vocative	_	_
,	_	PUNCT	,	_	_	1	punct	_	_
you	_	PRON	PRP	_	_	4	nsubj	_	_
say	_	VERB	VBP	_	_	0	root	_	_
help	_	NOUN	NN	_	_	4	obj	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
Wend Wendy's hat .,"Wend	_	_	_	_	_	3	reparandum	_	_
Wendy's	_	_	_	_	_	3	nmod:poss	_	_
hat	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","Wend	_	_	_	_	_	0	root	_	_
Wendy's	_	_	_	_	_	3	nmod:poss	_	_
hat	_	_	_	_	_	1	obj	_	_
.	_	_	_	_	_	1	punct	_	_","Wend	_	VERB	VB	_	_	0	root	_	_
Wendy	_	PROPN	NNP	_	_	4	nmod:poss	_	_
's	_	PART	POS	_	_	2	case	_	_
hat	_	NOUN	NN	_	_	1	obj	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
that's Wendy's hat there .,"that's	_	_	_	_	_	3	cop	_	_
Wendy's	_	_	_	_	_	3	nmod:poss	_	_
hat	_	_	_	_	_	0	root	_	_
there	_	_	_	_	_	3	advmod	_	_
.	_	_	_	_	_	3	punct	_	_","that's	_	_	_	_	_	3	cop	_	_
Wendy's	_	_	_	_	_	3	nmod:poss	_	_
hat	_	_	_	_	_	0	root	_	_
there	_	_	_	_	_	3	advmod	_	_
.	_	_	_	_	_	3	punct	_	_","that	_	PRON	DT	_	_	5	nsubj	_	_
's	_	AUX	VBZ	_	_	5	cop	_	_
Wendy	_	PROPN	NNP	_	_	5	nmod:poss	_	_
's	_	PART	POS	_	_	3	case	_	_
hat	_	NOUN	NN	_	_	0	root	_	_
there	_	ADV	RB	_	_	5	advmod	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
I'm not a fireman .,"I'm	_	_	_	_	_	4	cop	_	_
not	_	_	_	_	_	4	advmod	_	_
a	_	_	_	_	_	4	det	_	_
fireman	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	4	punct	_	_","I'm	_	_	_	_	_	4	cop	_	_
not	_	_	_	_	_	4	advmod	_	_
a	_	_	_	_	_	4	det	_	_
fireman	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	4	punct	_	_","I	_	PRON	PRP	_	_	5	nsubj	_	_
'm	_	AUX	VBP	_	_	5	cop	_	_
not	_	PART	RB	_	_	5	advmod	_	_
a	_	DET	DT	_	_	5	det	_	_
fireman	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
uh no thanks .,"uh	_	_	_	_	_	3	discourse	_	_
no	_	_	_	_	_	3	det	_	_
thanks	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","uh	_	_	_	_	_	3	discourse	_	_
no	_	_	_	_	_	3	discourse	_	_
thanks	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","uh	_	INTJ	UH	_	_	3	discourse	_	_
no	_	DET	DT	_	_	3	det	_	_
thanks	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
I'm sure .,"I'm	_	_	_	_	_	2	nsubj	_	_
sure	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","I'm	_	_	_	_	_	2	nsubj	_	_
sure	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","I	_	PRON	PRP	_	_	3	nsubj	_	_
'm	_	AUX	VBP	_	_	3	cop	_	_
sure	_	ADJ	JJ	_	_	0	root	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
oh no .,"oh	_	_	_	_	_	0	root	_	_
no	_	_	_	_	_	1	discourse	_	_
.	_	_	_	_	_	1	punct	_	_","oh	_	_	_	_	_	2	discourse	_	_
no	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","oh	_	INTJ	UH	_	_	2	discourse	_	_
no	_	INTJ	UH	_	_	0	root	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
I I need a dumper truck for a Smartie .,"I	_	_	_	_	_	2	reparandum	_	_
I	_	_	_	_	_	3	nsubj	_	_
need	_	_	_	_	_	0	root	_	_
a	_	_	_	_	_	6	det	_	_
dumper	_	_	_	_	_	6	compound	_	_
truck	_	_	_	_	_	3	obj	_	_
for	_	_	_	_	_	9	case	_	_
a	_	_	_	_	_	9	det	_	_
Smartie	_	_	_	_	_	3	obl	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	_	_	_	_	2	reparandum	_	_
I	_	_	_	_	_	3	nsubj	_	_
need	_	_	_	_	_	0	root	_	_
a	_	_	_	_	_	6	det	_	_
dumper	_	_	_	_	_	6	compound	_	_
truck	_	_	_	_	_	3	obj	_	_
for	_	_	_	_	_	9	case	_	_
a	_	_	_	_	_	9	det	_	_
Smartie	_	_	_	_	_	6	nmod	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	PRON	PRP	_	_	3	nsubj	_	_
I	_	PRON	PRP	_	_	3	nsubj	_	_
need	_	VERB	VBP	_	_	0	root	_	_
a	_	DET	DT	_	_	6	det	_	_
dumper	_	NOUN	NN	_	_	6	compound	_	_
truck	_	NOUN	NN	_	_	3	obj	_	_
for	_	ADP	IN	_	_	9	case	_	_
a	_	DET	DT	_	_	9	det	_	_
Smartie	_	PROPN	NNP	_	_	3	obl	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
"this is a street lamp , Mummy .","this	_	_	_	_	_	5	nsubj	_	_
is	_	_	_	_	_	5	cop	_	_
a	_	_	_	_	_	5	det	_	_
street	_	_	_	_	_	5	compound	_	_
lamp	_	_	_	_	_	0	root	_	_
,	_	_	_	_	_	5	discourse	_	_
Mummy	_	_	_	_	_	5	vocative	_	_
.	_	_	_	_	_	5	punct	_	_","this	_	_	_	_	_	5	nsubj	_	_
is	_	_	_	_	_	5	cop	_	_
a	_	_	_	_	_	5	det	_	_
street	_	_	_	_	_	5	compound	_	_
lamp	_	_	_	_	_	0	root	_	_
,	_	_	_	_	_	7	punct	_	_
Mummy	_	_	_	_	_	5	vocative	_	_
.	_	_	_	_	_	5	punct	_	_","this	_	PRON	DT	_	_	5	nsubj	_	_
is	_	AUX	VBZ	_	_	5	cop	_	_
a	_	DET	DT	_	_	5	det	_	_
street	_	NOUN	NN	_	_	5	compound	_	_
lamp	_	NOUN	NN	_	_	0	root	_	_
,	_	PUNCT	,	_	_	7	punct	_	_
Mummy	_	PROPN	NNP	_	_	5	vocative	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
I'm just saying anymore later .,"I'm	_	_	_	_	_	3	nsubj	_	_
just	_	_	_	_	_	3	advmod	_	_
saying	_	_	_	_	_	0	root	_	_
anymore	_	_	_	_	_	5	advmod	_	_
later	_	_	_	_	_	3	advmod	_	_
.	_	_	_	_	_	3	punct	_	_","I'm	_	_	_	_	_	3	nsubj	_	_
just	_	_	_	_	_	3	advmod	_	_
saying	_	_	_	_	_	0	root	_	_
anymore	_	_	_	_	_	3	obj	_	_
later	_	_	_	_	_	4	advmod	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	PRON	PRP	_	_	4	nsubj	_	_
'm	_	AUX	VBP	_	_	4	aux	_	_
just	_	ADV	RB	_	_	4	advmod	_	_
saying	_	VERB	VBG	_	_	0	root	_	_
anymore	_	ADV	RB	_	_	4	advmod	_	_
later	_	ADV	RBR	_	_	4	advmod	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
oh there's my dumper truck over there .,"oh	_	_	_	_	_	2	discourse	_	_
there's	_	_	_	_	_	0	root	_	_
my	_	_	_	_	_	5	nmod:poss	_	_
dumper	_	_	_	_	_	5	compound	_	_
truck	_	_	_	_	_	2	nsubj	_	_
over	_	_	_	_	_	7	advmod	_	_
there	_	_	_	_	_	2	advmod	_	_
.	_	_	_	_	_	2	punct	_	_","oh	_	_	_	_	_	2	discourse	_	_
there's	_	_	_	_	_	0	root	_	_
my	_	_	_	_	_	5	nmod:poss	_	_
dumper	_	_	_	_	_	5	compound	_	_
truck	_	_	_	_	_	2	nsubj	_	_
over	_	_	_	_	_	7	advmod	_	_
there	_	_	_	_	_	5	advmod	_	_
.	_	_	_	_	_	2	punct	_	_","oh	_	INTJ	UH	_	_	3	discourse	_	_
there	_	PRON	EX	_	_	3	expl	_	_
's	_	VERB	VBZ	_	_	0	root	_	_
my	_	PRON	PRP$	_	_	6	nmod:poss	_	_
dumper	_	NOUN	NN	_	_	6	compound	_	_
truck	_	NOUN	NN	_	_	3	nsubj	_	_
over	_	ADP	IN	_	_	8	case	_	_
there	_	ADV	RB	_	_	3	obl	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
silly Thomas .,"silly	_	_	_	_	_	2	amod	_	_
Thomas	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","silly	_	_	_	_	_	2	amod	_	_
Thomas	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","silly	_	ADJ	JJ	_	_	0	root	_	_
Thomas	_	PROPN	NNP	_	_	1	vocative	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
"here you are , Mummy .","here	_	_	_	_	_	0	root	_	_
you	_	_	_	_	_	1	nsubj	_	_
are	_	_	_	_	_	1	cop	_	_
,	_	_	_	_	_	1	vocative	_	_
Mummy	_	_	_	_	_	1	vocative	_	_
.	_	_	_	_	_	1	punct	_	_","here	_	_	_	_	_	0	root	_	_
you	_	_	_	_	_	1	nsubj	_	_
are	_	_	_	_	_	1	cop	_	_
,	_	_	_	_	_	5	punct	_	_
Mummy	_	_	_	_	_	1	vocative	_	_
.	_	_	_	_	_	1	punct	_	_","here	_	ADV	RB	_	_	0	root	_	_
you	_	PRON	PRP	_	_	5	nsubj	_	_
are	_	AUX	VBP	_	_	1	cop	_	_
,	_	PUNCT	,	_	_	5	punct	_	_
Mummy	_	PROPN	NNP	_	_	1	vocative	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
