sentence,category
It has just gone eight o'clock on Wednesday morning .,SPI
She does .,SPI
Thomas is looking at his book now .,SPI
The postman getting out of his van .,SPI
We did .,SPI
And he 's knocking on someone 's door .,SPI
It 's easier if you come on the chair .,SPI
He 's knocking on somebody else 's door .,SPI
You 're not going to sleep .,SPI
There 's nobody in is there ?,SPI
I do n't think so Thomas .,SPI
It 's the paper in the box if you listen quickly quickly .,SPI
That man in the blue car has got out .,SPI
And he 's talking to the postman because he looks like he has just come home and the parcel 's for him .,SPI
We 're just watching .,SPI
It 's you rolling round .,SPI
I think the postman is going to drive off in a few minutes in his red van .,SPI
Oh have you remembered the shopping basket will look nice on Mummy 's head as a hat ?,SPI
I 'm sure I 'm sure Mummy looks very silly .,SPI
That 's the blue car driving off .,SPI
And the postman is getting back in his van .,SPI
Where has the postman gone ?,SPI
He has gone .,SPI
Now you 're ready to play .,SPI
You sit in your chair .,SPI
And Grandma and Granddad are coming to look after you today .,SPI
I do n't know .,SPI
Dadda work .,SPI
Toast jump up .,SPI
Sue go .,SPI
Sue all done .,SPI
Where a Bow gone ?,SPI
Where she gone ?,SPI
Where has it gone ?,SPI
Where da Bow gone ?,SPI
It does n't matter .,SPI
Tea all done .,SPI
Wo Dadda work .,SPI
Spoon gone .,SPI
Dadda gone .,SPI
Where the socks a gone ?,SPI
A Bow gone .,SPI
It bumped .,SPI
Juice all done .,SPI
A banana gone .,SPI
Where has a football gone ?,SPI
Choo go .,SPI
Bear stay here .,SPI
Where the scooter gone ?,SPI
Where has a ball gone ?,SPI
Where tea gone ?,SPI
And you wash .,SPI
And there 's some bread .,SPI
I do n't think so .,SPI
A he gone .,SPI
You do .,SPI
The bubble all done .,SPI
I finish .,SPI
Oh I see .,SPI
Choos all done .,SPI
Dadda all gone .,SPI
Dadda see see .,SPI
Juice all gone .,SPI
A Dadda gone .,SPI
I 'm coming .,SPI
And what happened .,SPI
I know .,SPI
I think .,SPI
And then what happened ?,SPI
It 'll break .,SPI
There you go .,SPI
It 's broken ?,SPI
I ca n't see !,SPI
Are you going to .,SPI
You sit down .,SPI
We had .,SPI
Here you go .,SPI
The doors on the bus go open and shut .,SPI
I can see .,SPI
There 's a sandwich .,SPI
I do .,SPI
They 're coming .,SPI
And then what happens ?,SPI
Thomas eat .,SPI
Thomas doing ?,SPI
Mummy sit down ?,SPI
Mummy doing .,SPI
We went to the shop .,SPI
Dimitra doing ?,SPI
Mummy play ?,SPI
Train coming past .,SPI
They 're not going to sleep though are they ?,SPI
And then we went for a little lie by the pool .,SPI
And then we went for a walk did n't we ?,SPI
You 're not coming .,SPI
You 're staying with Nana and Granddad .,SPI
The cat has fallen off the lego train .,SPI
Bus fallen over and the train fallen over .,SPI
The bus has fallen over and the train has fallen over .,SPI
We bought .,SPI
I fell coming in the door did n't I ?,SPI
That 's the bottle we 're going to use for the milk later .,SPI
Well in that case you 've got to sit still .,SPI
Because it 's a long time since you 've eaten is n't it ?,SPI
Remember now that 's all the milk .,SPI
There 's one carton for this evening .,SPI
Because Mummy and Daddy are going .,SPI
Mummy and Daddy are going away tomorrow .,SPI
The back fell down ?,SPI
It did n't look very nice did it ?,SPI
We found out about it this morning did n't we ?,SPI
We went into Torremelenos this morning .,SPI
And we went for a drink did n't we ?,SPI
And we were talking to a man on a stall .,SPI
And he told us .,SPI
We 've been swimming again have n't we ?,SPI
Oh dear lid come off .,SPI
The lid has come off the juice .,SPI
And Granddad came in did n't he ?,SPI
Granddad came in .,SPI
Grandma has n't been swimming has she ?,SPI
She said she 's going to .,SPI
He came along did n't he ?,SPI
The back did fall down .,SPI
A back fall down .,SPI
The back did fall down did n't it ?,SPI
Because it 'll pop if it 's treated roughly .,SPI
You just stand there .,SPI
Your trains crash but it 's nothing like this is it ?,SPI
Well in a minute I think it 'll come on the news do n't you ?,SPI
And all those people walking .,SPI
And who 's arriving today in Spain ?,SPI
I 'm not sure whether it 's here she 's coming to .,SPI
We should have found out .,SPI
