Sentence,Supar_CDS,Stanza_off_the_shelf,Gold_annotation
lift Purdie's tail .,"1	lift	_	_	_	_	0	root	_	_
2	Purdie's	_	_	_	_	3	nmod:poss	_	_
3	tail	_	_	_	_	1	obj	_	_
4	.	_	_	_	_	1	punct	_	_","1	lift	_	VERB	VB	_	0	root	_	_
2	Purdie	_	PROPN	NNP	_	4	nmod:poss	_	_
3	's	_	PART	POS	_	2	case	_	_
4	tail	_	NOUN	NN	_	1	obj	_	_
5	.	_	PUNCT	.	_	1	punct	_	_",
you find Thomas's face .,"1	you	_	_	_	_	2	nsubj	_	_
2	find	_	_	_	_	0	root	_	_
3	Thomas's	_	_	_	_	4	nmod:poss	_	_
4	face	_	_	_	_	2	obj	_	_
5	.	_	_	_	_	2	punct	_	_","1	you	_	PRON	PRP	_	2	nsubj	_	_
2	find	_	VERB	VBP	_	0	root	_	_
3	Thomas	_	PROPN	NNP	_	5	nmod:poss	_	_
4	's	_	PART	POS	_	3	case	_	_
5	face	_	NOUN	NN	_	2	obj	_	_
6	.	_	PUNCT	.	_	2	punct	_	_",
"Mummy , don't .","1	Mummy	_	_	_	_	3	vocative	_	_
2	,	_	_	_	_	3	punct	_	_
3	don't	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	Mummy	_	NOUN	NN	_	3	vocative	_	_
2	,	_	PUNCT	,	_	1	punct	_	_
3	do	_	AUX	VB	_	0	root	_	_
4	n't	_	PART	RB	_	3	advmod	_	_
5	.	_	PUNCT	.	_	3	punct	_	_",
choo choo .,"1	choo	_	_	_	_	0	root	_	_
2	choo	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	choo	_	PROPN	NNP	_	0	root	_	_
2	choo	_	PROPN	NNP	_	1	flat	_	_
3	.	_	PUNCT	.	_	1	punct	_	_","1	Choo	choo	PROPN	NNP	_	0	root	0:root	_
2	choo	choo	PROPN	NNP	_	1	conj	1:conj	SpaceAfter=No
3	.	.	PUNCT	.	_	1	punct	1:punct	_
"
it's Mummy's house .,"1	it's	_	_	_	_	3	cop	_	_
2	Mummy's	_	_	_	_	3	nmod:poss	_	_
3	house	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	it	_	PRON	PRP	_	5	nsubj	_	_
2	's	_	AUX	VBZ	_	5	cop	_	_
3	Mummy	_	PROPN	NNP	_	5	nmod:poss	_	_
4	's	_	PART	POS	_	3	case	_	_
5	house	_	NOUN	NN	_	0	root	_	_
6	.	_	PUNCT	.	_	5	punct	_	_",
wheels on the bus go red red red .,"1	wheels	_	_	_	_	5	nsubj	_	_
2	on	_	_	_	_	4	case	_	_
3	the	_	_	_	_	4	det	_	_
4	bus	_	_	_	_	1	nmod	_	_
5	go	_	_	_	_	0	root	_	_
6	red	_	_	_	_	5	xcomp	_	_
7	red	_	_	_	_	6	conj	_	_
8	red	_	_	_	_	6	conj	_	_
9	.	_	_	_	_	5	punct	_	_","1	wheels	_	NOUN	NNS	_	5	nsubj	_	_
2	on	_	ADP	IN	_	4	case	_	_
3	the	_	DET	DT	_	4	det	_	_
4	bus	_	NOUN	NN	_	1	nmod	_	_
5	go	_	VERB	VBP	_	0	root	_	_
6	red	_	ADJ	JJ	_	8	amod	_	_
7	red	_	ADJ	JJ	_	8	amod	_	_
8	red	_	ADJ	JJ	_	5	xcomp	_	_
9	.	_	PUNCT	.	_	5	punct	_	_",
red red red .,"1	red	_	_	_	_	0	root	_	_
2	red	_	_	_	_	1	conj	_	_
3	red	_	_	_	_	1	conj	_	_
4	.	_	_	_	_	1	punct	_	_","1	red	_	ADJ	JJ	_	3	amod	_	_
2	red	_	ADJ	JJ	_	3	amod	_	_
3	red	_	ADJ	JJ	_	0	root	_	_
4	.	_	PUNCT	.	_	3	punct	_	_",
red red red red red .,"1	red	_	_	_	_	0	root	_	_
2	red	_	_	_	_	1	conj	_	_
3	red	_	_	_	_	1	conj	_	_
4	red	_	_	_	_	1	conj	_	_
5	red	_	_	_	_	1	conj	_	_
6	.	_	_	_	_	1	punct	_	_","1	red	_	ADJ	JJ	_	5	amod	_	_
2	red	_	ADJ	JJ	_	5	amod	_	_
3	red	_	ADJ	JJ	_	5	amod	_	_
4	red	_	ADJ	JJ	_	5	amod	_	_
5	red	_	ADJ	JJ	_	0	root	_	_
6	.	_	PUNCT	.	_	5	punct	_	_",
red red red .,"1	red	_	_	_	_	0	root	_	_
2	red	_	_	_	_	1	conj	_	_
3	red	_	_	_	_	1	conj	_	_
4	.	_	_	_	_	1	punct	_	_","1	red	_	ADJ	JJ	_	3	amod	_	_
2	red	_	ADJ	JJ	_	3	amod	_	_
3	red	_	ADJ	JJ	_	0	root	_	_
4	.	_	PUNCT	.	_	3	punct	_	_",
don't know .,"1	don't	_	_	_	_	2	aux	_	_
2	know	_	_	_	_	0	root	_	_
3	.	_	_	_	_	2	punct	_	_","1	do	_	AUX	VBP	_	3	aux	_	_
2	n't	_	PART	RB	_	3	advmod	_	_
3	know	_	VERB	VB	_	0	root	_	_
4	.	_	PUNCT	.	_	3	punct	_	_",
