Sentence,Roberta_CDS_biaffine,Roberta_eng_biaffine,Stanza_off_the_shelf
lift Purdie's tail .,"lift	_	_	_	_	_	0	root	_	_
Purdie's	_	_	_	_	_	3	nmod:poss	_	_
tail	_	_	_	_	_	1	obj	_	_
.	_	_	_	_	_	1	punct	_	_","lift	_	_	_	_	_	0	root	_	_
Purdie's	_	_	_	_	_	3	nmod:poss	_	_
tail	_	_	_	_	_	1	obj	_	_
.	_	_	_	_	_	1	punct	_	_","lift	_	VERB	VB	_	_	0	root	_	_
Purdie	_	PROPN	NNP	_	_	4	nmod:poss	_	_
's	_	PART	POS	_	_	2	case	_	_
tail	_	NOUN	NN	_	_	1	obj	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
you find Thomas's face .,"you	_	_	_	_	_	2	nsubj	_	_
find	_	_	_	_	_	0	root	_	_
Thomas's	_	_	_	_	_	4	nmod:poss	_	_
face	_	_	_	_	_	2	obj	_	_
.	_	_	_	_	_	2	punct	_	_","you	_	_	_	_	_	2	nsubj	_	_
find	_	_	_	_	_	0	root	_	_
Thomas's	_	_	_	_	_	4	nmod:poss	_	_
face	_	_	_	_	_	2	obj	_	_
.	_	_	_	_	_	2	punct	_	_","you	_	PRON	PRP	_	_	2	nsubj	_	_
find	_	VERB	VBP	_	_	0	root	_	_
Thomas	_	PROPN	NNP	_	_	5	nmod:poss	_	_
's	_	PART	POS	_	_	3	case	_	_
face	_	NOUN	NN	_	_	2	obj	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
"Mummy , don't .","Mummy	_	_	_	_	_	3	vocative	_	_
,	_	_	_	_	_	3	punct	_	_
don't	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","Mummy	_	_	_	_	_	3	vocative	_	_
,	_	_	_	_	_	1	punct	_	_
don't	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","Mummy	_	NOUN	NN	_	_	3	vocative	_	_
,	_	PUNCT	,	_	_	1	punct	_	_
do	_	AUX	VB	_	_	0	root	_	_
n't	_	PART	RB	_	_	3	advmod	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
choo choo .,"choo	_	_	_	_	_	0	root	_	_
choo	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","choo	_	_	_	_	_	0	root	_	_
choo	_	_	_	_	_	1	flat	_	_
.	_	_	_	_	_	1	punct	_	_","choo	_	PROPN	NNP	_	_	0	root	_	_
choo	_	PROPN	NNP	_	_	1	flat	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
it's Mummy's house .,"it's	_	_	_	_	_	3	cop	_	_
Mummy's	_	_	_	_	_	3	nmod:poss	_	_
house	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","it's	_	_	_	_	_	3	cop	_	_
Mummy's	_	_	_	_	_	3	nmod:poss	_	_
house	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","it	_	PRON	PRP	_	_	5	nsubj	_	_
's	_	AUX	VBZ	_	_	5	cop	_	_
Mummy	_	PROPN	NNP	_	_	5	nmod:poss	_	_
's	_	PART	POS	_	_	3	case	_	_
house	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
wheels on the bus go red red red .,"wheels	_	_	_	_	_	5	nsubj	_	_
on	_	_	_	_	_	4	case	_	_
the	_	_	_	_	_	4	det	_	_
bus	_	_	_	_	_	1	nmod	_	_
go	_	_	_	_	_	0	root	_	_
red	_	_	_	_	_	5	xcomp	_	_
red	_	_	_	_	_	6	conj	_	_
red	_	_	_	_	_	6	conj	_	_
.	_	_	_	_	_	5	punct	_	_","wheels	_	_	_	_	_	5	nsubj	_	_
on	_	_	_	_	_	4	case	_	_
the	_	_	_	_	_	4	det	_	_
bus	_	_	_	_	_	1	nmod	_	_
go	_	_	_	_	_	0	root	_	_
red	_	_	_	_	_	8	amod	_	_
red	_	_	_	_	_	8	amod	_	_
red	_	_	_	_	_	5	xcomp	_	_
.	_	_	_	_	_	5	punct	_	_","wheels	_	NOUN	NNS	_	_	5	nsubj	_	_
on	_	ADP	IN	_	_	4	case	_	_
the	_	DET	DT	_	_	4	det	_	_
bus	_	NOUN	NN	_	_	1	nmod	_	_
go	_	VERB	VBP	_	_	0	root	_	_
red	_	ADJ	JJ	_	_	8	amod	_	_
red	_	ADJ	JJ	_	_	8	amod	_	_
red	_	ADJ	JJ	_	_	5	xcomp	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
red red red .,"red	_	_	_	_	_	0	root	_	_
red	_	_	_	_	_	1	conj	_	_
red	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","red	_	_	_	_	_	3	amod	_	_
red	_	_	_	_	_	3	amod	_	_
red	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","red	_	ADJ	JJ	_	_	3	amod	_	_
red	_	ADJ	JJ	_	_	3	amod	_	_
red	_	ADJ	JJ	_	_	0	root	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
red red red red red .,"red	_	_	_	_	_	0	root	_	_
red	_	_	_	_	_	1	conj	_	_
red	_	_	_	_	_	1	conj	_	_
red	_	_	_	_	_	1	conj	_	_
red	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","red	_	_	_	_	_	0	root	_	_
red	_	_	_	_	_	5	amod	_	_
red	_	_	_	_	_	5	amod	_	_
red	_	_	_	_	_	5	amod	_	_
red	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	5	punct	_	_","red	_	ADJ	JJ	_	_	5	amod	_	_
red	_	ADJ	JJ	_	_	5	amod	_	_
red	_	ADJ	JJ	_	_	5	amod	_	_
red	_	ADJ	JJ	_	_	5	amod	_	_
red	_	ADJ	JJ	_	_	0	root	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
red red red .,"red	_	_	_	_	_	0	root	_	_
red	_	_	_	_	_	1	conj	_	_
red	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","red	_	_	_	_	_	3	amod	_	_
red	_	_	_	_	_	3	amod	_	_
red	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	3	punct	_	_","red	_	ADJ	JJ	_	_	3	amod	_	_
red	_	ADJ	JJ	_	_	3	amod	_	_
red	_	ADJ	JJ	_	_	0	root	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
don't know .,"don't	_	_	_	_	_	2	aux	_	_
know	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","don't	_	_	_	_	_	2	aux	_	_
know	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","do	_	AUX	VBP	_	_	3	aux	_	_
n't	_	PART	RB	_	_	3	advmod	_	_
know	_	VERB	VB	_	_	0	root	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
