# sentence: Thomas what 's the matter what 's the matter ?
Gold: token=Thomas, upos=PROPN, xpos=NNP, head=5, label=vocative
Pred: token=Thomas, upos=PROPN, xpos=NNP, head=2, label=vocative
Gold: token=what, upos=PRON, xpos=WP, head=5, label=nsubj
Pred: token=what, upos=PRON, xpos=WP, head=0, label=root
Gold: token='s, upos=AUX, xpos=VBZ, head=5, label=cop
Pred: token='s, upos=AUX, xpos=VBZ, head=2, label=cop
Gold: token=the, upos=DET, xpos=DT, head=5, label=det
Pred: token=the, upos=DET, xpos=DT, head=5, label=det
Gold: token=matter, upos=NOUN, xpos=NN, head=0, label=root
Pred: token=matter, upos=NOUN, xpos=NN, head=2, label=nsubj
Gold: token=what, upos=PRON, xpos=WP, head=9, label=nsubj
Pred: token=what, upos=PRON, xpos=WP, head=2, label=parataxis
Gold: token='s, upos=AUX, xpos=VBZ, head=9, label=cop
Pred: token='s, upos=AUX, xpos=VBZ, head=6, label=cop
Gold: token=the, upos=DET, xpos=DT, head=9, label=det
Pred: token=the, upos=DET, xpos=DT, head=9, label=det
Gold: token=matter, upos=NOUN, xpos=NN, head=5, label=parataxis
Pred: token=matter, upos=NOUN, xpos=NN, head=6, label=nsubj
Gold: token=?, upos=PUNCT, xpos=?, head=5, label=punct
Pred: token=?, upos=PUNCT, xpos=?, head=2, label=punct
------------------------------------------------------------

# sentence: Oh dear dear dear .
Gold: token=Oh, upos=INTJ, xpos=UH, head=0, label=root
Pred: token=Oh, upos=INTJ, xpos=UH, head=0, label=root
Gold: token=dear, upos=INTJ, xpos=UH, head=1, label=vocative
Pred: token=dear, upos=ADJ, xpos=JJ, head=1, label=vocative
Gold: token=dear, upos=ADJ, xpos=JJ, head=2, label=conj
Pred: token=dear, upos=ADJ, xpos=JJ, head=1, label=vocative
Gold: token=dear, upos=ADJ, xpos=JJ, head=2, label=conj
Pred: token=dear, upos=PROPN, xpos=JJ, head=1, label=vocative
Gold: token=., upos=PUNCT, xpos=., head=1, label=punct
Pred: token=., upos=PUNCT, xpos=., head=1, label=punct
------------------------------------------------------------

# sentence: Oh that was a nice squeal Thomas .
Gold: token=Oh, upos=INTJ, xpos=UH, head=6, label=intj
Pred: token=Oh, upos=INTJ, xpos=UH, head=6, label=discourse
