sentence,category
Right let 's get dressed .,COM
A where has a Bow gone ?,COM
Just sit just sit on the floor .,COM
Do n't go climbing on the chairs .,COM
Perhaps it 's just too early in the morning for me to get get a good suck on it .,COM
S k four three r f and the postman know knows which house to deliver it too .,COM
I 'm sure some people might like getting it .,COM
Out came the dustbin men and drive for the dustbin .,COM
Well at the moment I can see what 's in the box because you have n't managed to close the lid have you ?,COM
Now let this little girl get off first .,COM
Just let me get on .,COM
Now let 's go pass the parcel .,COM
It 's for when you blink your car and that 's car wash and that 's a lift for cars .,COM
Do n't wan na read anymore storys .,COM
It 's just I do n't know if you 've got a headache because it 's a little bit thundery outside .,COM
Not a good idea me opening the crisps because I 'm eating them .,COM
Because I what I was going to suggest was that we had our lunch but fair enough you do n't want any .,COM
I 'm not dressed for elegantly riding this train .,COM
It could but I was just going to put it away .,COM
Even had dra carry drinks .,COM
And have coke to drink .,COM
Where do that to apple face .,COM
There 's come actually on their own look .,COM
Just gon na phone police .,COM
Right take that out and pop that one in .,COM
Right well let 's pop that in .,COM
Right let me just have .,COM
And it when he stopped to look at these hula hoops that robber did .,COM
If you got need one helmet for a boy then I the I the one that stop the fire and you can watch .,COM
There let me see .,COM
You 're all done napping .,COM
That Eve make Jim jump .,COM
I 'm sorry I forgot to make one for you .,COM
Now let me draw you a lady .,COM
And let 's tear it off at the bottom .,COM
All right and you can paint a flying head for Jessica .,COM
Fine I 'm gon na go mail a letter and buy some stamps at the post office .,COM
Sure let 's paint the microphone .,COM
No it 's not a brack bush but I it will look black because we 're gon na use the black paint wo n't it ?,COM
Yeah that 's what I mean you have plenty of pizza .,COM
It 's a pretty long walk to the store if you just try to walk it .,COM
All right let 's do the red light first .,COM
Along came a frog and then there were .,COM
I 'm pretty hungry what kind of food are you gon na get ?,COM
All right I think I need a comb to get wool from you or a brush .,COM
Fish I got a fishy to swim in water .,COM
What let 's open these !,COM
All right all right let 's go and have fun .,COM
All right let 's go tape it on .,COM
All right let 's go to Toronto .,COM
How about you get some food at Tops and remember to pay money .,COM
Scar we wan na find Zazu .,COM
And here 's a game that I really know that I know from Sue .,COM
Then go to the and then go to the hive .,COM
She 's surprised that you brought everything that Jessica got .,COM
No going to sleep .,COM
The noise in the background is the kettle boiling so Mummy can make herself a cup of tea .,COP
You know what that is ?,COP
Oh you know what that is .,COP
This is Mummy 's pen because she 's writing something down .,COP
Oh is it stuck ?,COP
Are we done .,COP
Guess who it is .,COP
One was for you to drink this evening and the other two are for Mummy and Daddy to take with us tomorrow because we 're going to Gibraltar tomorrow are n't we ?,COP
Is that what you 're saying trip trip trip .,COP
So when we 're looking for them tomorrow that 's where they 'll be .,COP
This is the drawer this is the drawer where we 're keeping all our bits and pieces is n't it ?,COP
And these are coins that we do n't have .,COP
But here they have some that are like twenty five pence .,COP
And he told us there had been a nasty plane uh train crash did n't he ?,COP
You 've had it since you were a baby .,COP
I do n't think they 'll be coming to this hotel but it would be so funny if they were would n't it ?,COP
Would n't it be funny if we saw Sue .,COP
There was no happy birthday today was there ?,COP
Oh I thought you had gone under the table to be a crocodile .,COP
Now Mummy use ta have an office where she worked and so Purdie was always at work with me .,COP
Sue has n't been very well has she ?,COP
They had Tara that was the old dog .,COP
We do n't know what it was .,COP
And do you know what those numbers and letters are at the bottom ?,COP
How can Cornflakes straight from the packet be hot Thomas ?,COP
And I 've seen this one and I think it might be what we need .,COP
Well I do n't think it is smoke actually Thomas .,COP
Or it could be somebody 's tumble dryer and they haf ta have a pipe outside to let the .,COP
But whatever it is we 've seen it occasionally and it 's it 's more visible when it 's a dull morning is n't it ?,COP
Or it is p perhaps because we 've just been talking about Mummy 's mug when there were all those poorly teddy bears ?,COP
All you saying is the crocodile .,COP
All you saying is a policeman .,COP
And all you saying is Isabelle 's christening .,COP
All your say crocodile all your say is a fireman 's head .,COP
This is where sweet falls .,COP
I think it might be Purdie .,COP
I wish this was on video because you 've got a beautiful expression on your face .,COP
I think it was August she came you know .,COP
Are books that we can do things with .,COP
We 've not been on a bus for a while have we ?,COP
His his head looking straight ahead is n't he his face .,COP
Oh this is the lady that was running for the bus that you said could n't go on .,COP
Everybody on the bus is probably very hot because there are a lot of passengers so they open the window and then it 's raining .,COP
So if they 're going swishswishswish I do n't think it can be sunny can it ?,COP
Right bus driver how many pennys is it to go to the sweet shop on please ?,COP
Thomas the bus driver is this a ticket to take me just one way to the sweetie shop ?,COP
Oh this does n't be in there does it ?,COP
First I going to pick my back up and I wo n't be long .,COP
Watch this is very fast .,COP
When somebody has been naughty I press the button .,COP
I think a spoonful of Calpol will be good do n't you ?,COP
It is it is raining .,COP
And where are you going to be ?,COP
If somebody sat on that they 'd think the cushion was secure and they 'd slip off and they might slip off with it .,COP
It was she was poorly she had blue frilly ones .,COP
And look Jeannine will love these because these are for Sarah .,COP
