sentence,category
What do you say ?,QWH
What are they called ?,QWH
What have we got in here Thomas ?,QWH
Who are you saying see you to ?,QWH
What can you see outside ?,QWH
What 's he doing ?,QWH
What have you done ?,QWH
What does Thomas say ?,QWH
What does he say ?,QWH
What are they saying ?,QWH
What 's Mummy wearing ?,QWH
Who 're you shouting for ?,QWH
What else should you wear ?,QWH
What are you shouting help help ?,QWH
What are they doing ?,QWH
What are you doing ?,QWH
What would you like to look at ?,QWH
What have we got here ?,QWH
What 's Thomas doing ?,QWH
What does the frog do ?,QWH
What would you like ?,QWH
What 's going on ?,QWH
What did you say ?,QWH
What are we going to do ?,QWH
What 's he saying ?,QWH
What have you found ?,QWH
What do we see in the sky ?,QWH
What do you think ?,QWH
What does that say ?,QWH
What going on ?,QWH
What have we got in here ?,QWH
What have we done ?,QWH
What did we buy in the shop ?,QWH
What did we buy in the shop apart from some Ribena ?,QWH
What have you been saying while you 've been in Spain ?,QWH
What else have you been saying ?,QWH
What has gone in here ?,QWH
What have got here ?,QWH
What doing men ?,QWH
What would you like for breakfast Thomas ?,QWH
What are you having ?,QWH
What would you like to do Thomas ?,QWH
What was it called ?,QWH
What do you do first ?,QWH
What does Gambit mean ?,QWH
What does the wrapping paper say ?,QWH
What do you know where we live ?,QWH
What has come out of Sue 's back door ?,QWH
Who put it on ?,QWH
What can you see on this picture ?,QWH
What has she got in her hands ?,QWH
What has she got in her bags ?,QWH
What 's the next page got on it ?,QWH
What happens in the sky ?,QWH
What has he got in his bag ?,QWH
Who am I buying sweets for ?,QWH
What 's happening a walkman ?,QWH
What you want ?,QWH
What do you wan na do love ?,QWH
What could darling ?,QWH
What can I do for you ?,QWH
What 's standing down ?,QWH
What are you doing in that train ?,QWH
What do you think it should be called ?,QWH
What have we got to show me ?,QWH
Who are you phoning ?,QWH
What shall we play with ?,QWH
What are you doing ?,QWH
What happened ?,QWH
What did you say ?,QWH
What are you writing ?,QWH
What 's he doing ?,QWH
What doing ?,QWH
What you doing ?,QWH
Who did that ?,QWH
What did you do ?,QWH
What happened to it ?,QWH
What do you want me to do ?,QWH
What 're you doing ?,QWH
What are you going to do ?,QWH
What do you say ?,QWH
What happened to horse ?,QWH
What you writing ?,QWH
What do you want ?,QWH
What does ?,QWH
Who are you calling Eve ?,QWH
What 's the man doing ?,QWH
What do you want me to do with it ?,QWH
What 'll you do with it ?,QWH
Who 's sitting ?,QWH
What do you want me to do with the book ?,QWH
What are we going to do ?,QWH
What 're the fish doing ?,QWH
What are you doing out there ?,QWH
What 's Fraser doing ?,QWH
Who 's crying ?,QWH
What are you gon na do ?,QWH
Who 's coming ?,QWH
What else would you like to have for your lunch ?,QWH
What would you like ?,QWH
What do you have on your finger ?,QWH
Who else is sitting down ?,QWH
What 's he busy doing ?,QWH
What are you doing to dolly ?,QWH
What was that she said ?,QWH
Who 's been drawing on that paper ?,QWH
What 's she been writing ?,QWH
What are you spelling now ?,QWH
What are you going to have after you eat your lunch ?,QWH
What you go cook ?,QWH
What I doing ?,QWH
What you done there ?,QWH
What did you say honey ?,QWH
What you go do ?,QWH
What happened your paper ?,QWH
What was he doing ?,QWH
Who else are we going to see when we go to Ohio ?,QWH
What 're you going to do when you see Peter ?,QWH
Who wo n't blow the horn ?,QWH
What happened ?,QWH
What do you think ?,QWH
What are you doing ?,QWH
What does it say ?,QWH
What are you talking about ?,QWH
What do you want ?,QWH
What does that do ?,QWH
What does it do ?,QWH
What is mommy doing when the smoke alarm goes off ?,QWH
What was mommy doing when the smoke alarm went off ?,QWH
What was mommy doing ?,QWH
What was mommy doing when when the smoke alarm goes off ?,QWH
What is mommy doing ?,QWH
What happened with doggie puppet yesterday ?,QWH
What are where are you going doggie ?,QWH
What 'd she say ?,QWH
What is there to draw on there ?,QWH
What are you gon na draw ?,QWH
What else do you wan na draw ?,QWH
What else does Heidi do ?,QWH
Who are you picking up ?,QWH
What does that d do ?,QWH
What are you gon na make the bed out of ?,QWH
What are you gon na do today horsie ?,QWH
What are we gon na make out of this out of all this wool ?,QWH
Who 's gon na help us spin it into yarn ?,QWH
What are you saying sheep ?,QWH
Who else are we getting ?,QWH
What are the fun things you did with grandma ?,QWH
What was it that we were gon na go and do with grandma ?,QWH
What 's colored orange that 's right in front of you ?,QWH
What are you doing to my hand ?,QWH
What do you know ?,QWH
What else do you have ?,QWH
What should we build with it ?,QWH
What do we do with these guys ?,QWH
What do we do with these ?,QWH
What could we get the dinosaur to eat ?,QWH
What should we do ?,QWH
What have you been doing all day in there Scar ?,QWH
What happened what what ?,QWH
What am I gon na do with you ?,QWH
Who wants to go in the elevator ?,QWH
Who else wan na go in the elevator ?,QWH
Who else would like to go in the elevator ?,QWH
What 's a candle go with ?,QWH
What do you call this one Emma ?,QWH
What does the horse go with ?,QWH
What does this paper go with Emma ?,QWH
What do you call this one ?,QWH
What happened ?,QWH
What 're you doing ?,QWH
What does it say ?,QWH
What 's Mommy doing ?,QWH
What 's this say ?,QWH
What do you think ?,QWH
What are you doing ?,QWH
What 's it say ?,QWH
What 's he doing ?,QWH
What are you doin ?,QWH
What 's this called ?,QWH
What 's she doing ?,QWH
What does this say ?,QWH
Who are you talking to ?,QWH
What do we have ?,QWH
Who you calling ?,QWH
What are you eating ?,QWH
What does he do ?,QWH
What do I get ?,QWH
What are you making ?,QWH
What 's going on ?,QWH
What did you find ?,QWH
