sentence,category
The noise in the background is the kettle boiling so Mummy can make herself a cup of tea .,COP
You know what that is ?,COP
Oh you know what that is .,COP
This is Mummy 's pen because she 's writing something down .,COP
Oh is it stuck ?,COP
Are we done .,COP
Guess who it is .,COP
One was for you to drink this evening and the other two are for Mummy and Daddy to take with us tomorrow because we 're going to Gibraltar tomorrow are n't we ?,COP
Is that what you 're saying trip trip trip .,COP
So when we 're looking for them tomorrow that 's where they 'll be .,COP
This is the drawer this is the drawer where we 're keeping all our bits and pieces is n't it ?,COP
And these are coins that we do n't have .,COP
But here they have some that are like twenty five pence .,COP
And he told us there had been a nasty plane uh train crash did n't he ?,COP
You 've had it since you were a baby .,COP
I do n't think they 'll be coming to this hotel but it would be so funny if they were would n't it ?,COP
Would n't it be funny if we saw Sue .,COP
There was no happy birthday today was there ?,COP
Oh I thought you had gone under the table to be a crocodile .,COP
Now Mummy use ta have an office where she worked and so Purdie was always at work with me .,COP
Sue has n't been very well has she ?,COP
They had Tara that was the old dog .,COP
We do n't know what it was .,COP
And do you know what those numbers and letters are at the bottom ?,COP
How can Cornflakes straight from the packet be hot Thomas ?,COP
And I 've seen this one and I think it might be what we need .,COP
Well I do n't think it is smoke actually Thomas .,COP
Or it could be somebody 's tumble dryer and they haf ta have a pipe outside to let the .,COP
But whatever it is we 've seen it occasionally and it 's it 's more visible when it 's a dull morning is n't it ?,COP
Or it is p perhaps because we 've just been talking about Mummy 's mug when there were all those poorly teddy bears ?,COP
All you saying is the crocodile .,COP
All you saying is a policeman .,COP
And all you saying is Isabelle 's christening .,COP
All your say crocodile all your say is a fireman 's head .,COP
This is where sweet falls .,COP
I think it might be Purdie .,COP
I wish this was on video because you 've got a beautiful expression on your face .,COP
I think it was August she came you know .,COP
Are books that we can do things with .,COP
We 've not been on a bus for a while have we ?,COP
His his head looking straight ahead is n't he his face .,COP
Oh this is the lady that was running for the bus that you said could n't go on .,COP
Everybody on the bus is probably very hot because there are a lot of passengers so they open the window and then it 's raining .,COP
So if they 're going swishswishswish I do n't think it can be sunny can it ?,COP
Right bus driver how many pennys is it to go to the sweet shop on please ?,COP
Thomas the bus driver is this a ticket to take me just one way to the sweetie shop ?,COP
Oh this does n't be in there does it ?,COP
