sentence,category
Alright Thomas let 's put your shoes and socks on .,IMP
Come on sweetheart .,IMP
Come on .,IMP
Thank you .,IMP
Count four .,IMP
See you .,IMP
Let 's put your socks on .,IMP
Knock knock knock knock .,IMP
Knock knock .,IMP
Put your trousers on .,IMP
Got blue socks .,IMP
Let 's pick it up .,IMP
Pour the milk on .,IMP
Let 's pop your shirt on .,IMP
Bow Bow .,IMP
Snap crackle and pop .,IMP
Choose you warm sweater .,IMP
Let 's sit you in your highchair first .,IMP
Help help help help .,IMP
Have a good breakfast to start your day .,IMP
Find your coat hat and scarf .,IMP
Look there .,IMP
Help help .,IMP
Let 's sit down here .,IMP
Help help we 're stuck .,IMP
Let 's sit here together .,IMP
Help help stuck .,IMP
Let 's just strap you in .,IMP
Strap you into your seat .,IMP
Let 's pop your waistcoat on .,IMP
Pardon you Thomas Lastname .,IMP
Let 's have a look .,IMP
Stand up .,IMP
Bye bye see you .,IMP
Wash wash .,IMP
Move the bus .,IMP
Move bus .,IMP
Oh look .,IMP
Sit down .,IMP
Bye see Sue .,IMP
Bow 's food .,IMP
Go on .,IMP
Oh thank you .,IMP
Drink of juice .,IMP
Drop tea .,IMP
Watch watch .,IMP
Oh bump .,IMP
Look at that .,IMP
Stir stir .,IMP
Squeak squeak .,IMP
Hammering hammering .,IMP
Bye see you .,IMP
Do pop .,IMP
Look at me .,IMP
Ooh push .,IMP
Byebye see you truck .,IMP
See you truck .,IMP
See you football .,IMP
Stop it .,IMP
Look at this .,IMP
Choos a there .,IMP
Sits down .,IMP
Oh thank you very much .,IMP
Snap snap .,IMP
See you Po .,IMP
See truck .,IMP
Excuse me please .,IMP
Oh stop !,IMP
See you Dadda .,IMP
Dips hat .,IMP
See there .,IMP
See there truck .,IMP
See see .,IMP
See see Dadda .,IMP
Hang them up there .,IMP
Get off .,IMP
Bow food .,IMP
Watch strap .,IMP
Come here .,IMP
Say hello .,IMP
Thank you very much .,IMP
Oh excuse me .,IMP
Open the door .,IMP
Look at these .,IMP
Lie down .,IMP
Hang on .,IMP
Got you .,IMP
Fit in there .,IMP
Bow Bow Bow .,IMP
Open and shut .,IMP
Shut a door .,IMP
Move along please .,IMP
Well listen .,IMP
No do it .,IMP
Fell over .,IMP
Oh see you .,IMP
Thank you so much .,IMP
Go back .,IMP
See you in the morning .,IMP
Put it .,IMP
Open it .,IMP
Wait a minute .,IMP
Oh look Thomas .,IMP
Watch it .,IMP
Look at it .,IMP
Get out .,IMP
Po on .,IMP
Broke now .,IMP
Eat it .,IMP
Drive off .,IMP
Drive off now .,IMP
Look Mummy .,IMP
Coming down .,IMP
Hold it .,IMP
Watch out .,IMP
Run away .,IMP
Pop it on the table please .,IMP
Going backwards .,IMP
Hear it .,IMP
Watch telly .,IMP
Fallen off .,IMP
Excuse me please excuse me please .,IMP
Turn them on and leave them on .,IMP
Put it on and leave it on .,IMP
Come away .,IMP
Let 's have a look this bag .,IMP
Bash a lady man .,IMP
Swimming again .,IMP
Going to .,IMP
Mend it .,IMP
Going swishswishswishswish .,IMP
Stop de train .,IMP
Let us think .,IMP
Rolling the rubber ring .,IMP
Let 's have a look quick .,IMP
Let me turn the light off .,IMP
Let 's turn this light off .,IMP
Come and sit next to me .,IMP
Let me just pull the blind up .,IMP
See a bin bag lorry .,IMP
Let 's press it .,IMP
Look on the television now .,IMP
Shake shake shake .,IMP
Go beeba beeba .,IMP
Let 's pull your trousers up .,IMP
Wait a bin bag lorry .,IMP
Wait a not comes .,IMP
Talk a Dimitra a moment .,IMP
Hide the table .,IMP
Tighten up orange .,IMP
Dashed into Boots .,IMP
Drop more now .,IMP
Watch a Thomas .,IMP
Mind the dressing gown .,IMP
Mind the pyjamas .,IMP
Push ball .,IMP
Oh run away run away .,IMP
Come back a minute .,IMP
Enjoy it .,IMP
Enjoy it id a driver .,IMP
Daddy come .,IMP
Watch cupboard working .,IMP
Eat the Cornflakes .,IMP
Watch a cupboard working .,IMP
Thank you horse .,IMP
Asking de food .,IMP
Min a ride helicopter .,IMP
Called wh .,IMP
Crying ne food .,IMP
Look Daddy .,IMP
Chasing after .,IMP
Jumping round and round .,IMP
Thank you driver .,IMP
Put in de mouth .,IMP
Chasing after now .,IMP
Bump a finger .,IMP
Get in .,IMP
Going in there .,IMP
Um open it .,IMP
No want those .,IMP
Put on head .,IMP
Watch Pippin on now .,IMP
Going backwards Mummy .,IMP
Look coming in there .,IMP
Slip slip .,IMP
Coming in there .,IMP
Walk a beach .,IMP
Hiding in the foot .,IMP
Hold big blue pen .,IMP
Play with de trains .,IMP
Carrying the trains .,IMP
Hold the cabbage .,IMP
Hold the pink fruit .,IMP
Looking naughty boys .,IMP
Close the door now .,IMP
Broke it .,IMP
Talk a Mummy a moment .,IMP
Talk a Mummy a fire engine and police car .,IMP
Lost the fog .,IMP
Putting the bridge .,IMP
Come policeman a there .,IMP
Get out driver .,IMP
Shut the cab .,IMP
Packing yesterday .,IMP
Wash a head .,IMP
Fit in .,IMP
Open the cab .,IMP
Hiding in the trees .,IMP
Find it .,IMP
Coming from .,IMP
Enjoyed it .,IMP
Gone in the postbox .,IMP
Smoked ham .,IMP
Whoops a gone again .,IMP
Hold that .,IMP
Bump my head .,IMP
Coming da train .,IMP
Open na chair please .,IMP
Open na chair .,IMP
Move it please .,IMP
Broken rubber band .,IMP
Put order .,IMP
Train a people .,IMP
Got horse .,IMP
Got horse on it .,IMP
Stand them up .,IMP
Play with it .,IMP
Do that .,IMP
Come and .,IMP
Oh stop it .,IMP
Come on Mum .,IMP
Look Mum .,IMP
Did it .,IMP
Come back again .,IMP
Think so .,IMP
Found something .,IMP
Let me do it .,IMP
Put the lid on .,IMP
Say it again .,IMP
Go whoowhoo !,IMP
Let 's open it .,IMP
Have some crisps .,IMP
Thank you Dimitra .,IMP
Turn him off .,IMP
Smells like sandwiches in here .,IMP
Uh want this .,IMP
Let 's get cracking .,IMP
Open this parcel .,IMP
Called called Gemma .,IMP
Um say shop .,IMP
Put the pap put the paper on the floor .,IMP
Having a present on your own .,IMP
Want my penny box .,IMP
Thank you Mitra .,IMP
Thank you Jean .,IMP
Let me write that down .,IMP
Have a kiss .,IMP
Look at that snake .,IMP
Look at that snake there .,IMP
Let Mummy have a look at those .,IMP
Play a Thomas .,IMP
Fall down a bridge .,IMP
Watch out now .,IMP
Tipped everything .,IMP
Need it here .,IMP
Whoosh up like a rocket .,IMP
Climbed up all again .,IMP
Need you a wash up .,IMP
Waiting for the dustbin man .,IMP
Oh thank you hammer .,IMP
Stop it hammer .,IMP
Oh look another .,IMP
Look another one .,IMP
Making a table .,IMP
Watching the dustbin men .,IMP
Making a chair .,IMP
Um got prize for you .,IMP
Got some chocolate lolly pops .,IMP
Call fire engines .,IMP
See you Dimitra .,IMP
Smack and .,IMP
Stroke me .,IMP
Shut your eyes .,IMP
Well let 's bring it through here .,IMP
Do that and dana !,IMP
Ha say hello big box man .,IMP
Answer me .,IMP
Forgetting that .,IMP
Got in Mum .,IMP
Excuse me man with the guitar .,IMP
Um let me just see .,IMP
Wonder what 's .,IMP
Excuse me mum .,IMP
Look on that picture .,IMP
Leave that there .,IMP
Trying to comfort them .,IMP
Let 's do a bus page .,IMP
Get on Mum .,IMP
Cry Mum .,IMP
Uh cry .,IMP
Yeah leave .,IMP
Called rocket helmet .,IMP
Pass the parcel now .,IMP
Stop a music .,IMP
Wan na put it just there .,IMP
Pulling it off .,IMP
Wan na get another one to put on my ears .,IMP
Let me find a t and .,IMP
Get a flat tummy .,IMP
Excuse me Mum .,IMP
Come over here .,IMP
Goes like this .,IMP
Found ya .,IMP
Do this on you .,IMP
Hear this one .,IMP
Put it there please .,IMP
Have some more .,IMP
Keep shivering .,IMP
Saw some ladders going past .,IMP
Get a present .,IMP
Got it upstairs .,IMP
Let 's give you a little spoon of Calpol .,IMP
Sleeping it off .,IMP
Looks like it .,IMP
Nipped into Stockport on the bus to buy a present .,IMP
Let me just cover you up with this .,IMP
Listening to you .,IMP
Hop on the train .,IMP
Oh raining outside again .,IMP
Jeannine come back here .,IMP
Oh excuse you again .,IMP
Open the band .,IMP
Come on j .,IMP
Take the band off .,IMP
Try and put it there .,IMP
Lets have a look .,IMP
Come on eat some lunch .,IMP
Thomas come wash come and wash your hands please .,IMP
Pick that up then come and wash your hands please .,IMP
Stop in a minute .,IMP
Look at our house .,IMP
Squirt water out .,IMP
Went like this to me .,IMP
Broken down train .,IMP
Pulling his pants on .,IMP
Yes get down .,IMP
Let me feel it again .,IMP
Jump in that .,IMP
Pinching your hair .,IMP
Um gon na play .,IMP
Get off get off get off .,IMP
Help people and arrest burglars and robbers .,IMP
Going to make some sandwiches .,IMP
Keep them on please .,IMP
Have some red .,IMP
Have seven .,IMP
Tastes lovely .,IMP
Think of something else to say .,IMP
Want come and have her tea outside .,IMP
Blowing to sleep .,IMP
Wan na record you .,IMP
Wanted a tea .,IMP
Frightened of the queen .,IMP
Make Snow white eat a poison apple .,IMP
Tell his Mum .,IMP
Come in the car .,IMP
No keep it in your ear .,IMP
Showing her knickers .,IMP
Let me just .,IMP
Let me just do a little song .,IMP
Listen for ping pong .,IMP
Tie them round your trousers .,IMP
Tie them .,IMP
Put them in the oven too long .,IMP
Go go go go go go .,IMP
Play hm .,IMP
Gon na see the boops .,IMP
Have a wobbly crisp .,IMP
Let me squirt it out .,IMP
Lets just stop here child and have a bite .,IMP
Take it to hospital .,IMP
Need ta work there .,IMP
Go get apple out .,IMP
Fly old woman .,IMP
Trying to tell me off .,IMP
Look .,IMP
See .,IMP
Play .,IMP
Sit down .,IMP
Write .,IMP
Get it .,IMP
Sit .,IMP
Sitting chair .,IMP
Hurt knee .,IMP
Let 's see .,IMP
Turn .,IMP
Do .,IMP
Thank you .,IMP
Drop .,IMP
Sleeping .,IMP
Fall down .,IMP
Write on the paper .,IMP
Do it again .,IMP
Do it .,IMP
Eat .,IMP
Read .,IMP
Wait .,IMP
Have it .,IMP
Cock a doodle doo .,IMP
Gone .,IMP
Come .,IMP
Come here .,IMP
Break .,IMP
Let me see .,IMP
Kiss it .,IMP
Fix it .,IMP
Hanging .,IMP
Look on the floor .,IMP
Shoot .,IMP
Writing .,IMP
Crying .,IMP
Fly .,IMP
Go outside .,IMP
Look here .,IMP
Well go and get your telephone .,IMP
Call Grandma and talk .,IMP
Read the puzzle .,IMP
Give dolly her bottle .,IMP
Bring it here .,IMP
Eve find it .,IMP
Read choo choo .,IMP
Go find it .,IMP
Go find your hat .,IMP
Lie down stool .,IMP
Write a paper .,IMP
Give me the cheese .,IMP
Come car .,IMP
Have .,IMP
Get the napkin .,IMP
Taste it .,IMP
Let 's put the books in the basket .,IMP
Put this here on the floor .,IMP
Come out here .,IMP
Bring it .,IMP
Yes bring it .,IMP
Pardon me .,IMP
Cmon let 's go in the room .,IMP
Want Mommy letter .,IMP
Keep your finger out .,IMP
Play the music .,IMP
Stand dance .,IMP
Play step .,IMP
Get her .,IMP
Oh change her .,IMP
Come out here and play .,IMP
Cry .,IMP
Make it warm .,IMP
Do one for Mommy .,IMP
Put sugar in .,IMP
Give Eve paper .,IMP
Go write some a b c .,IMP
Write a b c Papa .,IMP
Wait a second .,IMP
Doing Eve .,IMP
Draw old Donald .,IMP
Eve writing a b c .,IMP
Cook .,IMP
Yes cook .,IMP
Drop a cheese .,IMP
Have a piece .,IMP
Put a dry diaper on baby Sarah 's bottom .,IMP
Put dry diaper baby Sarah bottom .,IMP
Thought going sleep .,IMP
Lay down .,IMP
Going buyer .,IMP
Feed .,IMP
Oh write penny .,IMP
Write penny .,IMP
Going byebye Papa .,IMP
Eve see Mom baby Sarah .,IMP
Eve come down here please .,IMP
Want tapioca .,IMP
Come and move horsie .,IMP
Come move horsie .,IMP
Please move him .,IMP
Move him away from the fire .,IMP
Show him your lion and your turtle please .,IMP
Show Fraser lion .,IMP
Jump off the table .,IMP
Jump off table .,IMP
Come here and jump off the table for Fraser .,IMP
Move here .,IMP
Having tapioca .,IMP
Let me wipe your fingers first .,IMP
Wipe finger .,IMP
Eve sit my stool .,IMP
Have little stool .,IMP
Want Papa .,IMP
Put the beads on the string .,IMP
Eve have it .,IMP
Do running fast .,IMP
Put orange one .,IMP
Put only one .,IMP
Okay jump in the livingroom .,IMP
Forgot Eve pencil .,IMP
Go count the beads .,IMP
Eve count a bead .,IMP
Count one two three .,IMP
Tear .,IMP
Mommy fix it .,IMP
Mommy fix a paper .,IMP
Well let me see .,IMP
Gon na write the couch .,IMP
Write this couch .,IMP
Write table .,IMP
Look at Eve .,IMP
Want see Becky .,IMP
Writing door .,IMP
Writing Fraser .,IMP
Write on paper .,IMP
Squashing dolly .,IMP
Wipe your mouth with the napkin .,IMP
Eve wipe your mouth .,IMP
Yeah Eve make a Jim jump .,IMP
Make a tower .,IMP
Make Jim jump .,IMP
Put a block on .,IMP
Put another block on .,IMP
Make other tower .,IMP
Make Eve soup .,IMP
