Sentence,Label,Supar_CDS,Stanza_off_the_shelf,Gold_annotation
I think stick on here .,"subject, tense_aspect","1	I	_	_	_	_	2	nsubj	_	_
2	think	_	_	_	_	0	root	_	_
3	stick	_	_	_	_	2	ccomp	_	_
4	on	_	_	_	_	5	case	_	_
5	here	_	_	_	_	3	obl	_	_
6	.	_	_	_	_	2	punct	_	_","1	I	_	PRON	PRP	_	2	nsubj	_	_
2	think	_	VERB	VBP	_	0	root	_	_
3	stick	_	VERB	VB	_	2	xcomp	_	_
4	on	_	ADP	IN	_	3	compound:prt	_	_
5	here	_	ADV	RB	_	3	obl	_	_
6	.	_	PUNCT	.	_	2	punct	_	_",
wanna be Fireman Sam .,subject,"1	wanna	_	_	_	_	0	root	_	_
2	be	_	_	_	_	3	cop	_	_
3	Fireman	_	_	_	_	1	xcomp	_	_
4	Sam	_	_	_	_	3	flat	_	_
5	.	_	_	_	_	1	punct	_	_","1	wan	_	VERB	VBP	_	0	root	_	_
2	na	_	PART	TO	_	5	mark	_	_
3	be	_	AUX	VB	_	5	cop	_	_
4	Fireman	_	PROPN	NNP	_	1	xcomp	_	_
5	Sam	_	PROPN	NNP	_	4	flat	_	_
6	.	_	PUNCT	.	_	1	punct	_	_",
wanna talk now .,subject,"1	wanna	_	_	_	_	0	root	_	_
2	talk	_	_	_	_	1	xcomp	_	_
3	now	_	_	_	_	2	advmod	_	_
4	.	_	_	_	_	1	punct	_	_","1	wan	_	VERB	VBP	_	0	root	_	_
2	na	_	PART	TO	_	3	mark	_	_
3	talk	_	VERB	VB	_	1	xcomp	_	_
4	now	_	ADV	RB	_	3	advmod	_	_
5	.	_	PUNCT	.	_	1	punct	_	_",
"Purdie , that Fireman Sam .",verb,"1	Purdie	_	_	_	_	4	vocative	_	_
2	,	_	_	_	_	4	mark	_	_
3	that	_	_	_	_	4	nsubj	_	_
4	Fireman	_	_	_	_	0	root	_	_
5	Sam	_	_	_	_	4	flat	_	_
6	.	_	_	_	_	4	punct	_	_","1	Purdie	_	PROPN	NNP	_	0	root	_	_
2	,	_	PUNCT	,	_	1	punct	_	_
3	that	_	SCONJ	IN	_	4	det	_	_
4	Fireman	_	PROPN	NNP	_	1	appos	_	_
5	Sam	_	PROPN	NNP	_	4	flat	_	_
6	.	_	PUNCT	.	_	1	punct	_	_",
a ladder climb up .,other,"1	a	_	_	_	_	2	det	_	_
2	ladder	_	_	_	_	3	nsubj	_	_
3	climb	_	_	_	_	0	root	_	_
4	up	_	_	_	_	3	advmod	_	_
5	.	_	_	_	_	3	punct	_	_","1	a	_	DET	DT	_	3	det	_	_
2	ladder	_	NOUN	NN	_	3	compound	_	_
3	climb	_	NOUN	NN	_	0	root	_	_
4	up	_	ADP	RP	_	3	advmod	_	_
5	.	_	PUNCT	.	_	3	punct	_	_",
looking the kitchen for a Wendy's hat .,"subject, present_progressive, preposition, determiner","1	looking	_	_	_	_	0	root	_	_
2	the	_	_	_	_	3	det	_	_
3	kitchen	_	_	_	_	1	obl	_	_
4	for	_	_	_	_	7	case	_	_
5	a	_	_	_	_	7	det	_	_
6	Wendy's	_	_	_	_	7	nmod:poss	_	_
7	hat	_	_	_	_	1	obl	_	_
8	.	_	_	_	_	1	punct	_	_","1	looking	_	VERB	VBG	_	0	root	_	_
2	the	_	DET	DT	_	3	det	_	_
3	kitchen	_	NOUN	NN	_	1	obj	_	_
4	for	_	ADP	IN	_	8	case	_	_
5	a	_	DET	DT	_	6	det	_	_
6	Wendy	_	PROPN	NNP	_	8	nmod:poss	_	_
7	's	_	PART	POS	_	6	case	_	_
8	hat	_	NOUN	NN	_	1	obl	_	_
9	.	_	PUNCT	.	_	1	punct	_	_",
I not called Aunty Mabel .,auxiliary,"1	I	_	_	_	_	3	nsubj:pass	_	_
2	not	_	_	_	_	3	advmod	_	_
3	called	_	_	_	_	0	root	_	_
4	Aunty	_	_	_	_	3	xcomp	_	_
5	Mabel	_	_	_	_	4	flat	_	_
6	.	_	_	_	_	3	punct	_	_","1	I	_	PRON	PRP	_	3	nsubj	_	_
2	not	_	PART	RB	_	3	advmod	_	_
3	called	_	VERB	VBD	_	0	root	_	_
4	Aunty	_	PROPN	NNP	_	3	obj	_	_
5	Mabel	_	PROPN	NNP	_	4	flat	_	_
6	.	_	PUNCT	.	_	3	punct	_	_",
Mummy need a dumper truck and a big digger to the Smarties .,subject,"1	Mummy	_	_	_	_	2	vocative	_	_
2	need	_	_	_	_	0	root	_	_
3	a	_	_	_	_	5	det	_	_
4	dumper	_	_	_	_	5	compound	_	_
5	truck	_	_	_	_	2	obj	_	_
6	and	_	_	_	_	9	cc	_	_
7	a	_	_	_	_	9	det	_	_
8	big	_	_	_	_	9	amod	_	_
9	digger	_	_	_	_	5	conj	_	_
10	to	_	_	_	_	12	case	_	_
11	the	_	_	_	_	12	det	_	_
12	Smarties	_	_	_	_	2	obl	_	_
13	.	_	_	_	_	2	punct	_	_","1	Mummy	_	NOUN	NN	_	2	nsubj	_	_
2	need	_	VERB	VBP	_	0	root	_	_
3	a	_	DET	DT	_	5	det	_	_
4	dumper	_	NOUN	NN	_	5	compound	_	_
5	truck	_	NOUN	NN	_	2	obj	_	_
6	and	_	CCONJ	CC	_	9	cc	_	_
7	a	_	DET	DT	_	9	det	_	_
8	big	_	ADJ	JJ	_	9	amod	_	_
9	digger	_	NOUN	NN	_	5	conj	_	_
10	to	_	ADP	IN	_	12	case	_	_
11	the	_	DET	DT	_	12	det	_	_
12	Smarties	_	PROPN	NNPS	_	9	nmod	_	_
13	.	_	PUNCT	.	_	2	punct	_	_",
what I going do ?,present_progressive,"1	what	_	_	_	_	4	obj	_	_
2	I	_	_	_	_	3	nsubj	_	_
3	going	_	_	_	_	0	root	_	_
4	do	_	_	_	_	3	xcomp	_	_
5	?	_	_	_	_	3	punct	_	_","1	what	_	PRON	WP	_	0	root	_	_
2	I	_	PRON	PRP	_	3	nsubj	_	_
3	going	_	VERB	VBG	_	1	acl:relcl	_	_
4	do	_	VERB	VB	_	3	xcomp	_	_
5	?	_	PUNCT	.	_	4	punct	_	_",
I put the poo and cat poo .,"determiner, other","1	I	_	_	_	_	2	nsubj	_	_
2	put	_	_	_	_	0	root	_	_
3	the	_	_	_	_	4	det	_	_
4	poo	_	_	_	_	2	obj	_	_
5	and	_	_	_	_	7	cc	_	_
6	cat	_	_	_	_	7	compound	_	_
7	poo	_	_	_	_	2	conj	_	_
8	.	_	_	_	_	2	punct	_	_","1	I	_	PRON	PRP	_	2	nsubj	_	_
2	put	_	VERB	VBD	_	0	root	_	_
3	the	_	DET	DT	_	4	det	_	_
4	poo	_	NOUN	NN	_	2	obj	_	_
5	and	_	CCONJ	CC	_	7	cc	_	_
6	cat	_	NOUN	NN	_	7	compound	_	_
7	poo	_	NOUN	NN	_	2	obj	_	_
8	.	_	PUNCT	.	_	2	punct	_	_",
