Sentence,Supar_CDS,Stanza_off_the_shelf,Gold_annotation
oh yes .,"1	oh	_	_	_	_	0	root	_	_
2	yes	_	_	_	_	1	discourse	_	_
3	.	_	_	_	_	1	punct	_	_","1	oh	_	INTJ	UH	_	2	discourse	_	_
2	yes	_	INTJ	UH	_	0	root	_	_
3	.	_	PUNCT	.	_	2	punct	_	_","1	Oh	oh	INTJ	UH	_	0	root	0:root	_
2	yes	yes	INTJ	UH	_	1	discourse	1:discourse	SpaceAfter=No
3	.	.	PUNCT	.	_	1	punct	1:punct	_
"
"Mummy , you say help .","1	Mummy	_	_	_	_	4	vocative	_	_
2	,	_	_	_	_	4	aux	_	_
3	you	_	_	_	_	4	nsubj	_	_
4	say	_	_	_	_	0	root	_	_
5	help	_	_	_	_	4	obj	_	_
6	.	_	_	_	_	4	punct	_	_","1	Mummy	_	NOUN	NN	_	4	vocative	_	_
2	,	_	PUNCT	,	_	1	punct	_	_
3	you	_	PRON	PRP	_	4	nsubj	_	_
4	say	_	VERB	VBP	_	0	root	_	_
5	help	_	NOUN	NN	_	4	obj	_	_
6	.	_	PUNCT	.	_	4	punct	_	_",
Wend Wendy's hat .,"1	Wend	_	_	_	_	3	reparandum	_	_
2	Wendy's	_	_	_	_	3	nmod:poss	_	_
3	hat	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	Wend	_	VERB	VB	_	0	root	_	_
2	Wendy	_	PROPN	NNP	_	4	nmod:poss	_	_
3	's	_	PART	POS	_	2	case	_	_
4	hat	_	NOUN	NN	_	1	obj	_	_
5	.	_	PUNCT	.	_	1	punct	_	_",
that's Wendy's hat there .,"1	that's	_	_	_	_	3	cop	_	_
2	Wendy's	_	_	_	_	3	nmod:poss	_	_
3	hat	_	_	_	_	0	root	_	_
4	there	_	_	_	_	3	advmod	_	_
5	.	_	_	_	_	3	punct	_	_","1	that	_	PRON	DT	_	5	nsubj	_	_
2	's	_	AUX	VBZ	_	5	cop	_	_
3	Wendy	_	PROPN	NNP	_	5	nmod:poss	_	_
4	's	_	PART	POS	_	3	case	_	_
5	hat	_	NOUN	NN	_	0	root	_	_
6	there	_	ADV	RB	_	5	advmod	_	_
7	.	_	PUNCT	.	_	5	punct	_	_",
I'm not a fireman .,"1	I'm	_	_	_	_	4	cop	_	_
2	not	_	_	_	_	4	advmod	_	_
3	a	_	_	_	_	4	det	_	_
4	fireman	_	_	_	_	0	root	_	_
5	.	_	_	_	_	4	punct	_	_","1	I	_	PRON	PRP	_	5	nsubj	_	_
2	'm	_	AUX	VBP	_	5	cop	_	_
3	not	_	PART	RB	_	5	advmod	_	_
4	a	_	DET	DT	_	5	det	_	_
5	fireman	_	NOUN	NN	_	0	root	_	_
6	.	_	PUNCT	.	_	5	punct	_	_",
I'm sure .,"1	I'm	_	_	_	_	2	nsubj	_	_
2	sure	_	_	_	_	0	root	_	_
3	.	_	_	_	_	2	punct	_	_","1	I	_	PRON	PRP	_	3	nsubj	_	_
2	'm	_	AUX	VBP	_	3	cop	_	_
3	sure	_	ADJ	JJ	_	0	root	_	_
4	.	_	PUNCT	.	_	3	punct	_	_",
oh no .,"1	oh	_	_	_	_	0	root	_	_
2	no	_	_	_	_	1	discourse	_	_
3	.	_	_	_	_	1	punct	_	_","1	oh	_	INTJ	UH	_	2	discourse	_	_
2	no	_	INTJ	UH	_	0	root	_	_
3	.	_	PUNCT	.	_	2	punct	_	_","1	Oh	oh	INTJ	UH	_	0	root	0:root	_
2	no	no	INTJ	UH	_	1	discourse	1:discourse	SpaceAfter=No
3	.	.	PUNCT	.	_	1	punct	1:punct	_
"
I I need a dumper truck for a Smartie .,"1	I	_	_	_	_	2	reparandum	_	_
2	I	_	_	_	_	3	nsubj	_	_
3	need	_	_	_	_	0	root	_	_
4	a	_	_	_	_	6	det	_	_
5	dumper	_	_	_	_	6	compound	_	_
6	truck	_	_	_	_	3	obj	_	_
7	for	_	_	_	_	9	case	_	_
8	a	_	_	_	_	9	det	_	_
9	Smartie	_	_	_	_	3	obl	_	_
10	.	_	_	_	_	3	punct	_	_","1	I	_	PRON	PRP	_	3	nsubj	_	_
2	I	_	PRON	PRP	_	3	nsubj	_	_
3	need	_	VERB	VBP	_	0	root	_	_
4	a	_	DET	DT	_	6	det	_	_
5	dumper	_	NOUN	NN	_	6	compound	_	_
6	truck	_	NOUN	NN	_	3	obj	_	_
7	for	_	ADP	IN	_	9	case	_	_
8	a	_	DET	DT	_	9	det	_	_
9	Smartie	_	PROPN	NNP	_	3	obl	_	_
10	.	_	PUNCT	.	_	3	punct	_	_",
"this is a street lamp , Mummy .","1	this	_	_	_	_	5	nsubj	_	_
2	is	_	_	_	_	5	cop	_	_
3	a	_	_	_	_	5	det	_	_
4	street	_	_	_	_	5	compound	_	_
5	lamp	_	_	_	_	0	root	_	_
6	,	_	_	_	_	5	discourse	_	_
7	Mummy	_	_	_	_	5	vocative	_	_
8	.	_	_	_	_	5	punct	_	_","1	this	_	PRON	DT	_	5	nsubj	_	_
2	is	_	AUX	VBZ	_	5	cop	_	_
3	a	_	DET	DT	_	5	det	_	_
4	street	_	NOUN	NN	_	5	compound	_	_
5	lamp	_	NOUN	NN	_	0	root	_	_
6	,	_	PUNCT	,	_	7	punct	_	_
7	Mummy	_	PROPN	NNP	_	5	vocative	_	_
8	.	_	PUNCT	.	_	5	punct	_	_",
I'm just saying anymore later .,"1	I'm	_	_	_	_	3	nsubj	_	_
2	just	_	_	_	_	3	advmod	_	_
3	saying	_	_	_	_	0	root	_	_
4	anymore	_	_	_	_	5	advmod	_	_
5	later	_	_	_	_	3	advmod	_	_
6	.	_	_	_	_	3	punct	_	_","1	I	_	PRON	PRP	_	4	nsubj	_	_
2	'm	_	AUX	VBP	_	4	aux	_	_
3	just	_	ADV	RB	_	4	advmod	_	_
4	saying	_	VERB	VBG	_	0	root	_	_
5	anymore	_	ADV	RB	_	4	advmod	_	_
6	later	_	ADV	RBR	_	4	advmod	_	_
7	.	_	PUNCT	.	_	4	punct	_	_",
